Player Name,League,Club,Position,Tactical Role,Minutes Played,Short Pass Accuracy %,Medium Pass Accuracy %,Long Pass Accuracy %,Goals per 90,Assists per 90,Total Pass Accuracy %,Tackles Success %,Dribblers Tackled,Blocks per 90,Shots Blocked per 90,Passes Blocked per 90,Clearances per 90,Errors per 90,Aggressive High Block Engagement,Transition Ability (Interceptions-Passing),Area Clearance & Box Protection,Build-up Ability,1v1 Ability,Compactness & Shot Blocks,Overall Defensive Workload Index,Vertical Passing / Line-Breaking,Low-Tempo Defensive Coverage,Mid-Third Engagements,Long Passing Ability - Pressured Duel Success,Errors Under Pressure,Area Variety in Tackling,Structured Passing in Tactical Mid-Blocks,Defensive Stress Indicators & Rescue Actions,Passing Reliability Across Areas,Defensive Energy & Effort Radar
Álex Suárez,La Liga,Las Palmas,Defender,Ball-Playing Centre-Back,2568,0.929961089,0.894736842,0.568296796,0.070093458,0,0.033447099,1.090909091,31,1.156542056,0.490654206,0.66588785,2.943925234,0,0.387765722,0.40509357,0.380595714,0.220584402,0.68288465,0.60850029,0.436254735,0.156007409,0.617944708,0.572053483,0.453228442,0.351554226,0.610748709,0.551581194,0.154017432,0.646360325,0.825436649
Mika Màrmol,La Liga,Las Palmas,Defender,Positional Defender,3181,0.945714286,0.925925926,0.44012945,0,0.00084879,0.025453113,0.954545455,35,1.103426595,0.537566803,0.565859793,4.159069475,0.056585979,0.348439115,0.538830494,0.356631085,0.413015551,0.685263988,0.517922782,0.186116577,0.157826224,0.60289714,0.603218057,0.183212472,0.440970102,0.794142582,0.657314604,0.142394847,0.541327778,0.833536772
Nacho,La Liga,Real Madrid,Defender,Ball-Playing Centre-Back,1740,0.961038961,0.948096886,0.663366337,0,0.002586207,0.048145225,1.111111111,6,1.189655172,0.672413793,0.517241379,2.896551724,0,0.135559759,0.327797435,0.339128757,0.363210413,0.491685083,0.715224009,0.127505139,0.177899419,0.493359494,0.630888826,0.462538457,0.351699888,0.631943525,0.520153538,0.159353341,0.740787189,0.841263117
João Cancelo,La Liga,Barcelona,Defender,Defensive Anchor / Stopper,2505,0.924698795,0.82832618,0.623100304,0.071856287,0.00502994,0.035411311,1.257142857,38,1.25748503,0.215568862,1.041916168,2.119760479,0.035928144,0.5849925,0.464368722,0.309119033,0.349175003,0.54880385,0.73935242,0.398848556,0.138556648,0.573060996,0.460874217,0.5235179,0.327629258,0.623076681,0.302797752,0.112028471,0.580668144,0.887142529
Joseba Zaldúa,La Liga,Cadiz,Defender,Ball-Winning Full-Back,709,0.890510949,0.75483871,0.293577982,0,0,0.125268817,0.705882353,13,0.761636107,0.507757405,0.253878702,2.538787024,0,0.599624131,0.362165363,0.598597595,0.278433508,1,0.211793662,0.157794527,0.086125657,0.440228779,0.301770489,0.255398484,0.195437177,0.389858517,0.55817067,0.166631159,0.634655341,0.777191595
Víctor Chust,La Liga,Cadiz,Defender,Ball-Playing Centre-Back,1870,0.908496732,0.905405405,0.513513514,0,0.002406417,0.039007782,0.782608696,18,1.299465241,1.010695187,0.288770053,4.427807487,0.048128342,0.202912606,0.372487541,0.616893842,0.296010864,0.754027357,0.564836791,0.249274493,0.178679134,0.27813642,0.472729015,0.274305016,0.263853081,0.572619364,0.639414169,0.196087918,0.582937916,0.785198506
Álex Centelles,La Liga,Almeria,Defender,Ball-Playing Centre-Back,980,0.903061224,0.81420765,0.406356413,0,0.008265306,0.089512195,0.666666667,8,0.459183673,0.183673469,0.275510204,2.663265306,0,0.281353527,0.29169214,0.364544221,0.907322666,0.681556559,0.474122229,0.037602386,0.140514739,0.678619725,0.475190691,0.301654122,0.322985362,0.656153212,0.545484658,0.088577357,0.723143517,0.899498575
Bruno Langa,La Liga,Almeria,Defender,Ball-Winning Full-Back,819,0.870466321,0.803571429,0.471428571,0.10989011,0,0.106309148,1.2,6,1.208791209,0.43956044,0.769230769,3.626373626,0.21978022,0.480524301,0.361976939,0.596080775,0.293658986,0.770334762,0.567242852,0.627486752,0.184010854,0.633345477,0.713100359,0.501824133,0.418754588,0.655999431,0.516153739,0.169533572,0.590953096,0.815352464
Rubén Duarte,La Liga,Alaves,Defender,Ball-Winning Full-Back,1876,0.864,0.772151899,0.404435058,0.095948827,0.002398721,0.042277691,0.952380952,21,1.007462687,0.287846482,0.719616205,3.310234542,0,0.506699716,0.392589791,0.536866656,0.623674239,0.626232295,0.405420189,0.407255075,0.155077406,0.564683114,0.651099772,0.414425885,0.611520534,0.661627438,0.511795631,0.107175651,0.498582568,0.886983121
Sergio Akieme,La Liga,Almeria,Defender,Ball-Winning Full-Back,1676,0.908602151,0.83125,0.432160804,0.107398568,0,0.056060606,0.833333333,13,0.751789976,0.214797136,0.53699284,1.825775656,0,0.392360999,0.23890782,0.517661059,0.694825272,0.351915118,0.361047857,0.549472547,0.030996729,0.490997847,0.666002694,0.333761078,0.239917957,0.703517313,0.556705074,0.194707881,0.690876824,0.793873658
