Player Name,League,Club,Position,Tactical Role,Minutes Played,Short Pass Accuracy %,Medium Pass Accuracy %,Long Pass Accuracy %,Goals per 90,Assists per 90,Total Pass Accuracy %,Tackles Success %,Dribblers Tackled,Blocks per 90,Shots Blocked per 90,Passes Blocked per 90,Clearances per 90,Errors per 90,Aggressive High Block Engagement,Transition Ability (Interceptions-Passing),Area Clearance & Box Protection,Build-up Ability,1v1 Ability,Compactness & Shot Blocks,Overall Defensive Workload Index,Vertical Passing / Line-Breaking,Low-Tempo Defensive Coverage,Mid-Third Engagements,Long Passing Ability - Pressured Duel Success,Errors Under Pressure,Area Variety in Tackling,Structured Passing in Tactical Mid-Blocks,Defensive Stress Indicators & Rescue Actions,Passing Reliability Across Areas,Defensive Energy & Effort Radar
F. Fazio,Serie A,Salernitana,Defender,Positional Defender,1355,0.840206186,0.818867925,0.509259259,0.066420664,0,0.763888889,0.785714286,8,1.461254613,1.26199262,0.199261993,6.575645756,0.066420664,0.1113212,0.508491617,0.799027075,0.57761128,0.827598804,0.454128043,0.575993995,0.311075914,0.457629778,0.802236788,0.412446052,0.464094881,0.562380932,0.385561202,0.198286718,0.579250578,0.789996234
Mário Rui,Serie A,Napoli,Defender,Ball-Winning Full-Back,1208,0.908866995,0.843317972,0.546961326,0,0.149130075,1.026252983,0.882352941,14,1.267605634,0.149130075,1.118475559,1.416735708,0,0.588441364,0.396260174,0.40881543,0.404879257,0.454108346,0.601835434,0.101979983,0.306963887,0.671089881,0.442619077,0.56895427,0.119256472,0.678707442,0.546390989,0.122094428,0.82544385,0.855872644
D. D'Ambrosio,Serie A,Monza,Defender,Defensive Anchor / Stopper,1534,0.957446809,0.938162544,0.596774194,0,0,0.923584906,1,28,1.291585127,0.763209393,0.528375734,1.819960861,0,0.592337944,0.684357886,0.13456315,0,0.711664112,0.458801766,0.218037317,0.156150132,0.413196341,0.489603104,0.354730359,0.511469747,0.275747607,0.670157857,0.103506803,0.726445934,0.837791435
Pedro Pereira,Serie A,Monza,Defender,Ball-Winning Full-Back,833,0.918803419,0.81025641,0.438596491,0,0.215827338,0.983050847,0.928571429,9,1.618705036,0.215827338,1.402877698,1.942446043,0,0.635098082,0.320974518,0.668984313,0.17918727,0.517054282,0.693419502,0.163569822,0.308842939,0.644445425,0,0.158258974,0.240093786,0.700028261,0.540957211,0.113705887,0.533374314,0.865354949
A. Florenzi,Serie A,AC Milan,Defender,Ball-Winning Full-Back,1729,0.94335512,0.874759152,0.576,0.05205321,0.20821284,1.007640879,0.807692308,26,0.832851359,0.46847889,0.36437247,1.301330249,0.05205321,0.521726276,0.366256093,0.134791709,0.385551778,0.459676275,0.357843632,0.168017788,0.314162425,0.338190203,0.322783708,0.284095283,0.173464133,0.431501779,0.524421522,0.146842284,0.798618925,0.820650418
D. Calabria,Serie A,AC Milan,Defender,Defensive Anchor / Stopper,2196,0.909228442,0.886956522,0.589403974,0.041002278,0.123006834,1.016166282,1,44,1.066059226,0.287015945,0.77904328,2.009111617,0.041002278,0.672061554,0.500296561,0.186417292,0.301675508,0.527011938,0.488666662,0.261015749,0.256166539,0.312184504,0.339264822,0.418444209,0.379412477,0.616604648,0.65880124,0.130470531,0.711379869,0.846158654
R. Tolói,Serie A,Atalanta,Defender,Ball-Winning Full-Back,961,0.91943128,0.882352941,0.438356164,0,0,0.864970646,1.285714286,14,0.842872008,0.374609781,0.468262227,2.715920916,0,0.49285237,0.366735612,0.26715448,0.583028947,0.494499257,0.518747235,0.049359256,0.13514672,0.220426217,1,0.427188274,0.220801735,0.808443491,0.700132449,0.187874422,0.745656959,0.789082988
P. Hatzidiakos,Serie A,Cagliari,Defender,Positional Defender,867,0.968992248,0.836842105,0.588235294,0,0,0.874666667,0.833333333,10,1.453287197,0.519031142,0.934256055,3.114186851,0.103806228,0.453058059,0.576812153,0.349719315,0.389484763,0.428562893,0.555103186,0.053384735,0.126296862,0.437503295,0.396956499,0.274910303,0.6673678,0.627499908,0.169202884,0.091223602,0.382682545,0.887102084
F. Ebosele,Serie A,Udinese,Defender,Ball-Winning Full-Back,1704,0.769230769,0.657718121,0.529411765,0,0,0.882539683,0.869565217,21,1.742957746,0.105633803,1.637323944,1.426056338,0,0.671022224,0.305448774,1,0.511545125,0.627979335,0.79191541,0.250486124,0.206321741,0.620511808,0.14049381,0.840841108,0.629587413,0.436418839,0.496377395,0.107708923,0.397948596,0.868851042
N. Pérez,Serie A,Udinese,Defender,Positional Defender,3240,0.890740741,0.865357644,0.511551155,0,0,0.863667348,1.142857143,39,1.472222222,0.722222222,0.75,4.388888889,0.027777778,0.377137812,0.587058026,0.526620357,0.430251766,0.722387379,0.660628039,0.32961159,0.243543368,0.593393602,0.647925173,0.343901501,0.558903557,0.636204215,0.546314053,0.121405353,0.556559372,0.860663891
N. Gyömbér,Serie A,Salernitana,Defender,Positional Defender,1763,0.887596899,0.895721925,0.575757576,0,0,0.852503383,0.6,20,1.684628474,1.174134997,0.510493477,3.930799773,0.102098695,0.248435937,0.582509681,0.661593043,0.402628072,0.624068224,0.470512844,0.18985493,0.21290348,0.346488231,0.348735131,0.431822771,0.33953081,0.352185154,0.611325844,0.150839817,0.723143517,0.801704031
Danilo,Serie A,Juventus,Defender,Positional Defender,2450,0.932758621,0.915938865,0.643564356,0.036734694,0.036734694,0.918061166,0.947368421,32,1.248979592,0.551020408,0.697959184,3.453061224,0,0.387829388,0.589887175,0.27148718,0.36682945,0.591700333,0.564307856,0.314727174,0.230795808,0.592697462,0.4659944,0.466408015,0.381537812,0.642142345,0.460221267,0.127291512,0.640622547,0.844357559
Alex Sandro,Serie A,Juventus,Defender,Positional Defender,716,0.935,0.907749077,0.588235294,0.125698324,0,0.979550102,1,4,1.634078212,0.879888268,0.754189944,2.891061453,0,0.272542504,0.581527961,0.385663397,0.630971866,0.31213817,0.627978769,0.425720595,0.147297935,0.538524495,0.523129418,0.265708548,0.492434726,0.384197659,0.507503852,0.135181934,0.707726416,0.834761342
Ruan Tressoldi,Serie A,Sassuolo,Defender,Ball-Playing Centre-Back,1513,0.871559633,0.891008174,0.725274725,0,0,0.898484848,1.363636364,10,1.070720423,0.892267019,0.178453404,4.04494382,0.118968936,0.222738856,0.451629372,0.318275262,0.639449516,0.635886561,0.724597152,0.289124681,0.276244375,0.166099868,0.728238351,0.601452131,0.336149146,0.538734495,0.461589063,0.336270216,0.819951199,0.640499414
J. Sambia,Serie A,Salernitana,Defender,Ball-Winning Full-Back,1030,0.894957983,0.741758242,0.603174603,0.087378641,0.174757282,0.982673267,0.625,6,1.310679612,0.611650485,0.699029126,2.446601942,0,0.344316531,0.238416845,0.610159554,0.543568284,0.357086446,0.419035648,0.2780085,0.354886682,0.502031967,0.559982989,0.590075266,0.185143376,0.486496487,0.07464979,0.155249133,0.800485173,0.857168936
G. Ferrari,Serie A,Sassuolo,Defender,Ball-Playing Centre-Back,2267,0.898203593,0.893118594,0.574297189,0.039700044,0,0.869529984,0.909090909,12,1.111601235,0.67490075,0.436700485,3.017203352,0,0.162007192,0.30178468,0.484123216,0.542450501,0.512323402,0.531346073,0.210969434,0.188654132,0.465588199,0.643599448,0.501899793,0.548812096,0.5451833,0.668140331,0.128397442,0.592098162,0.868507346
F. Daniliuc,Serie A,Salernitana,Defender,Defensive Anchor / Stopper,742,0.872222222,0.923529412,0.692307692,0,0,0.925925926,0.916666667,9,1.576819407,0.485175202,1.091644205,1.819407008,0,0.527285607,0.509313957,0.453576007,0.315007652,0.502541799,0.753925814,0.194625089,0.171796848,0.313649665,0.212617124,0.716733074,0.290763518,0.51552572,0.814684738,0.137567746,0.797951667,0.833581408
I. Monterisi,Serie A,Frosinone,Defender,Ball-Playing Centre-Back,1465,0.892857143,0.84787472,0.487804878,0.122866894,0.122866894,0.856837607,0.928571429,12,1.351535836,1.105802048,0.245733788,3.870307167,0,0.264747968,0.328014087,0.606139261,0.292589069,0.620070468,0.375597502,0.571040067,0.319883766,0.394909115,0.731746664,0.268728251,0.36248897,0.387675695,0.542953901,0.189502161,0.633999812,0.789708433
A. Oyono,Serie A,Frosinone,Defender,Defensive Anchor / Stopper,1197,0.929378531,0.793103448,0.489795918,0,0.07518797,1.070247934,1.238095238,23,1.278195489,0.22556391,1.052631579,2.406015038,0,0.699845346,0.48606536,0.381924463,0.187278228,0.69334246,0.654049537,0.248752358,0.208886534,0.57143992,0.363156137,0.237937988,0.530438607,0.630312463,0.347741125,0.105562633,0.54928381,0.863449655
G. Magnani,Serie A,Verona,Defender,Positional Defender,2441,0.838565022,0.884990253,0.592274678,0,0,0.805128205,0.782608696,15,1.84350676,1.032363785,0.811142974,4.350675952,0,0.188700843,0.568543699,0.753376032,0.679034701,0.53370927,0.704672789,0.265762478,0.292722028,0.499167323,0.556921921,0.558763871,0.473596724,0.495315808,0.696769783,0.151998236,0.698733107,0.821676156
B. Amione,Serie A,Verona,Defender,Positional Defender,580,0.838383838,0.863636364,0.454545455,0,0,0.803703704,0.333333333,4,0.620689655,0.310344828,0.310344828,2.948275862,0.310344828,0.343895286,0.443942202,0.461876409,0.747379702,0.68693111,0.086452088,0.01680686,0.196205837,0.577480577,0.453836259,0.703759898,0.535086836,0.605803934,0.923455198,0.133748822,0.583104853,0.838893506
R. Karsdorp,Serie A,AS Roma,Defender,Ball-Winning Full-Back,1216,0.877300613,0.813229572,0.571428571,0,0.148026316,1.01682243,1.636363636,16,0.962171053,0.296052632,0.666118421,1.184210526,0,0.561088452,0.296952202,0.311452168,0.314526968,0.705746054,0.700146269,0.314345157,0.400424565,0.688987119,0.859940778,0.631599635,0.253961049,0.46288712,0.565629375,0.1507252,0.849306749,0.832529101
Pol Lirola,Serie A,Frosinone,Defender,Ball-Winning Full-Back,1539,0.885630499,0.782258065,0.528089888,0.116959064,0.058479532,0.901134522,1.285714286,17,0.701754386,0.058479532,0.643274854,2.397660819,0.058479532,0.509578107,0.298583409,0.286153111,0.658280842,0.566052533,0.551119235,0.452420454,0.174279835,0.508820886,0.394386258,0.35025911,0.594863981,0.638787905,0.405669562,0.151064863,0.625099491,0.840389962
M. Pedersen,Serie A,Sassuolo,Defender,Ball-Winning Full-Back,1604,0.883792049,0.797153025,0.494252874,0,0.112219451,1.132796781,0.96,21,1.066084788,0.280548628,0.78553616,2.86159601,0,0.555851273,0.325232858,0.533270427,0.322932925,0.738607075,0.573421368,0.247472457,0.286157067,0.546170843,0.461130448,0.493513071,0.11930672,0.726251616,0.454642524,0.259871753,0.672795431,0.719412271
M. Vojvoda,Serie A,Torino,Defender,Ball-Winning Full-Back,1372,0.886486486,0.822115385,0.515384615,0,0.196793003,0.959697733,1.142857143,11,0.787172012,0.131195335,0.655976676,1.836734694,0,0.434680009,0.145907845,0.399635859,0.591635652,0.450778513,0.536504246,0.056773007,0.358447453,0.448330228,0.541101204,0.469813263,0.278496368,0.749469768,0.611499372,0.1630653,0.79250418,0.835236022
F. Centonze,Serie A,Verona,Defender,Defensive Anchor / Stopper,675,0.797101449,0.731092437,0.325,0,0.133333333,1.014285714,0.8,5,1.866666667,0.266666667,1.6,2.4,0,0.649255824,0.456055256,0.971681939,0.696247797,0.509123227,0.647517938,0.1856573,0.329894979,0.759575543,0.206933332,0.38054342,0.53690616,0.584742655,0.795473569,0.101245243,0.457198531,0.850601303
A. Dossena,Serie A,Cagliari,Defender,Positional Defender,2978,0.861111111,0.877941176,0.58302583,0.060443251,0.120886501,0.804012346,0.813953488,32,1.511081263,0.815983882,0.695097381,5.198119543,0.060443251,0.27584455,0.552866822,0.620594018,0.524373942,0.650183692,0.544222914,0.494139064,0.380320067,0.584415133,0.331379537,0.387362465,0.384780983,0.680898908,0.539696105,0.154562239,0.611369537,0.824430932
E. Valeri,Serie A,Frosinone,Defender,Ball-Winning Full-Back,1178,0.829145729,0.616161616,0.341880342,0,0.076400679,0.947222222,1.6,10,1.069609508,0.229202037,0.84040747,1.680814941,0,0.661541731,0.146356845,0.73904284,0.686396296,0.789254375,0.879620189,0.29088603,0.238116682,0.50103676,0.582484892,0.292676992,0.177855912,0.441835161,0.262090517,0.19309269,0.746049475,0.806946941
P. Schuurs,Serie A,Torino,Defender,Defensive Anchor / Stopper,771,0.909677419,0.939698492,0.658536585,0.116731518,0,0.8975,1.090909091,3,1.167315175,0.233463035,0.93385214,2.684824903,0,0.489329016,0.512697379,0.226335876,0.328783825,0.513369317,0.602321378,0.510031988,0.133724463,0.531708798,0.328529435,0.542829807,0.549874599,0.701384383,0.712613433,0.128680135,0.658290498,0.850604667
A. Masina,Serie A,Torino,Defender,Ball-Playing Centre-Back,1021,0.911196911,0.867507886,0.606557377,0,0,0.884126984,1.5,5,1.057786484,0.528893242,0.528893242,2.64446621,0,0.352664791,0.334577296,0.336788088,0.497505248,0.631904426,0.847362667,0.227840922,0.158322729,0.307297854,0.431908954,0.314377921,0.414122293,0.540411153,0.515022139,0.174885282,0.723056804,0.800133993
C. Biraghi,Serie A,Fiorentina,Defender,Ball-Winning Full-Back,2359,0.918269231,0.78597786,0.458823529,0.076303518,0.190758796,1.055513308,1.4,28,1.144552777,0.190758796,0.953793981,1.640525646,0,0.598234432,0.207550428,0.427937975,0.37216433,0.424650526,0.620510719,0.303773747,0.269206948,0.419848887,0.329170127,0.117823334,0.502793818,0.624635492,0.473060949,0.139959375,0.593471533,0.855026607
S. Walukiewicz,Serie A,Empoli,Defender,Positional Defender,2054,0.849206349,0.897707231,0.621621622,0,0,0.83201581,0.848484848,28,2.190847128,1.358325219,0.832521908,5.301850049,0,0.245144485,0.55311563,0.931344724,0.238583679,0.713845002,0.805667285,0.421198831,0.250830515,0.197929493,0.206359233,0.401164923,0.288806414,0.469886963,0.635579785,0.183973548,0.607515262,0.769335415
G. Zappa,Serie A,Cagliari,Defender,Ball-Winning Full-Back,2555,0.875426621,0.775590551,0.427272727,0.035225049,0.105675147,0.954333644,1.068965517,29,1.021526419,0.176125245,0.845401174,2.641878669,0.070450098,0.595975917,0.295107207,0.52144209,0.452790479,0.618225538,0.516817146,0.267350244,0.26038715,0.512599572,0.626263584,0.446570793,0.307813188,0.754093627,0.520423839,0.158289959,0.629755015,0.81380093
Y. Mina,Serie A,Cagliari,Defender,Ball-Playing Centre-Back,1218,0.881944444,0.883161512,0.535087719,0.147783251,0,0.802867384,0.928571429,13,1.699507389,1.034482759,0.665024631,5.689655172,0,0.210712565,0.438862791,0.780916786,0.147021805,0.713638115,0.500691463,0.777662166,0.217785763,0.538191649,0.640493366,0.400771431,0.540169326,0.660364798,0.541645382,0.176992011,0.495741283,0.812034441
N. Zortea,Serie A,Frosinone,Defender,Ball-Winning Full-Back,1260,0.859848485,0.746031746,0.5,0.071428571,0.357142857,6.333333333,1.75,10,0.928571429,0.357142857,0.571428571,2.071428571,0.071428571,0.501925605,0.011141393,0.503625916,0.448374288,0.517726514,0.660455018,0.414441671,0.504637105,0.247375221,0.164198668,0,0.613928372,0.563854567,0.528883401,0.652619471,0.454629014,0.253503632
A. Obert,Serie A,Cagliari,Defender,Positional Defender,937,0.888888889,0.85786802,0.57,0,0,0.859122402,1.125,8,1.248665955,0.672358591,0.576307364,3.93810032,0.096051227,0.331240752,0.537896566,0.389370913,0.858801966,0.471827806,0.696574042,0.139771196,0.19844444,0.259810223,0.545297857,0.32827028,0.439317434,0.646112704,0.462281442,0.164575961,0.743851891,0.812549637
E. Hysaj,Serie A,Lazio,Defender,Ball-Winning Full-Back,1195,0.913242009,0.852233677,0.525641026,0,0,0.975376197,1.75,15,1.205020921,0.451882845,0.753138075,2.334728033,0,0.474589975,0.40868193,0.331568268,0.563080154,0.482578837,0.770553051,0.142852683,0.157935921,0.325249711,0.728604412,0.339849502,0.48128429,0.607126937,0.558427105,0.154781914,0.736050213,0.825691432
Mario Gila,Serie A,Lazio,Defender,Ball-Playing Centre-Back,1814,0.939958592,0.934819897,0.745856354,0,0,0.918512658,0.608695652,19,1.339581036,0.694597574,0.644983462,3.42337376,0,0.22274742,0.460620208,0.391433612,0.323988208,0.470703015,0.550250035,0.091046105,0.166114209,0.318402903,0.261958035,0.596164668,0.38644466,0.639738348,0.417249157,0.137520201,0.666961935,0.845292978
B. Djimsiti,Serie A,Atalanta,Defender,Positional Defender,2832,0.879279279,0.928735632,0.727272727,0,0.031779661,0.91908976,0.827586207,19,1.684322034,1.048728814,0.63559322,3.177966102,0,0.155278116,0.582523198,0.492550968,0.579837134,0.50036927,0.728469345,0.246216402,0.32561735,0.556162113,0.504529918,0.613918851,0.410855326,0.327354443,0.619484227,0.040935728,0.825865463,0.930344191
R. Bellanova,Serie A,Torino,Defender,Ball-Winning Full-Back,3065,0.89037037,0.803953871,0.573684211,0.029363785,0.205546493,1.099018733,1.733333333,18,0.616639478,0.117455139,0.499184339,1.057096248,0.088091354,0.406224545,0.091322663,0.29139479,0.411374531,0.680869816,0.687411733,0.323149252,0.401197347,0.728633664,0.493473708,0.411924135,0.440307624,0.484632636,0.535240241,0.152207351,0.707984356,0.841085842
I. Hien,Serie A,Atalanta,Defender,Positional Defender,930,0.822580645,0.946996466,0.785714286,0,0.096774194,0.920529801,1.5,7,1.161290323,0.483870968,0.677419355,3.193548387,0,0.332026055,0.475017724,0.285462146,0.558827562,0.623019937,0.837977826,0.388016205,0.405069243,0.390764153,0.300548995,0.654325648,0.710312227,0.588059823,0.912469143,0.175090875,0.653766564,0.776222354
G. Scalvini,Serie A,Atalanta,Defender,Positional Defender,2555,0.895977809,0.856913183,0.464968153,0.035225049,0.105675147,0.842384106,1.137931034,19,1.549902153,0.598825832,0.951076321,2.500978474,0,0.459223107,0.57775569,0.444344511,0.734861504,0.420847436,0.697962424,0.255665755,0.306380751,0.698203734,0.611626141,0.257103466,0.317592769,0.503862038,0.632489356,0.120431727,0.78152995,0.853545309
Pablo Marí,Serie A,Monza,Defender,Ball-Playing Centre-Back,2617,0.933481153,0.960292581,0.74516129,0,0,0.919186047,0.735294118,22,1.37562094,0.859763088,0.515857853,3.954910203,0.034390524,0.127594666,0.523924614,0.39014437,0.388721326,0.603102558,0.680203952,0.226518198,0.21652146,0.496034188,0.288202366,0.513965141,0.301756907,0.566466031,0.465061472,0.150074181,0.783527161,0.832006566
F. Parisi,Serie A,Fiorentina,Defender,Ball-Winning Full-Back,1453,0.907284768,0.851485149,0.656565657,0,0.061940812,0.995203837,1.363636364,15,1.300757054,0.309704061,0.991052994,1.610461115,0,0.504721026,0.414339179,0.317639389,0.351333175,0.433678946,0.664282026,0.15869172,0.295569655,0.599354093,0.911024418,0.79569858,0.396940794,0.619983126,0.454305606,0.119778382,0.733458917,0.874614716
M. Viti,Serie A,Sassuolo,Defender,Positional Defender,984,0.872928177,0.896551724,0.526315789,0.091463415,0,0.926940639,1.071428571,10,1.829268293,0.914634146,0.914634146,4.024390244,0,0.461689942,0.544431542,0.652671089,0.314897054,0.541677953,0.649277593,0.526945269,0.18006137,0.282059754,0.597396648,0.432558751,0.27220125,0.594084628,0.724609674,0.178757531,0.787444474,0.793573996
J. Cabal,Serie A,Verona,Defender,Defensive Anchor / Stopper,1497,0.866013072,0.754966887,0.444444444,0,0,0.931893688,1.421052632,18,1.803607214,0.541082164,1.26252505,3.306613226,0.120240481,0.579886573,0.600561435,0.673720739,0.582057103,0.633540845,0.866058361,0.331197601,0.23666535,0.712256978,0.696602298,0.355594146,0.490726103,0.554054886,0.368390051,0.121878623,0.468121997,0.865384764
A. Cambiaso,Serie A,Juventus,Defender,Ball-Winning Full-Back,2389,0.913274336,0.86,0.701923077,0.075345333,0.113017999,0.958135109,1.304347826,25,1.054834659,0.113017999,0.94181666,0.979489326,0.037672666,0.54032431,0.218271618,0.275836214,0.235883159,0.458533609,0.738706861,0.361482599,0.233338822,0.432400919,0.340708239,0.632993432,0.237820479,0.608948178,0.485454662,0.153463916,0.684955201,0.836635068
F. Gatti,Serie A,Juventus,Defender,Ball-Playing Centre-Back,2641,0.909473684,0.916292975,0.632768362,0.136312003,0,0.897613549,1.1875,19,0.88602802,0.511170011,0.374858008,3.067020068,0.034078001,0.22033393,0.249439667,0.329397441,0.425377814,0.54881839,0.565551115,0.529701172,0.131423298,0.396788562,0.488509613,0.458750706,0.4952466,0.606115259,0.640590333,0.185521853,0.633016213,0.816280875
S. de Vrij,Serie A,Inter,Defender,Ball-Playing Centre-Back,1578,0.945945946,0.945848375,0.71875,0.057034221,0,0.992545261,1,8,1.254752852,0.570342205,0.684410646,2.908745247,0,0.136788573,0.43665944,0.303904086,0.449118209,0.555243062,0.818585898,0.391065091,0.205768994,0.82746642,0.493686791,0.528796893,0.299115546,0.568908251,0.449914211,0.144952913,0.867079855,0.852129181
D. Dumfries,Serie A,Inter,Defender,Ball-Winning Full-Back,1640,0.831884058,0.791044776,0.585714286,0.219512195,0.219512195,1.018242123,1.444444444,9,0.823170732,0.329268293,0.493902439,1.81097561,0.054878049,0.430766484,0.124416798,0.410870056,0.567239191,0.479930953,0.453703805,0.78778091,0.383737117,0.496718574,0.414014745,0.475936205,0.500799967,0.411182922,0.619587681,0.08887227,0.720777856,0.898677507
M. Darmian,Serie A,Inter,Defender,Ball-Winning Full-Back,2414,0.90619469,0.913256956,0.576388889,0.074565037,0.037282519,0.98498749,0.956521739,20,1.006628003,0.410107705,0.596520298,2.050538525,0,0.452238633,0.270261895,0.34579534,0.286682155,0.469117838,0.479050413,0.281077891,0.154985762,0.243359492,0.652913766,0.611406711,0.252489091,0.671233931,0.780108017,0.192256411,0.736795522,0.792512799
F. Dimarco,Serie A,Inter,Defender,Ball-Winning Full-Back,2105,0.914972274,0.794297352,0.526066351,0.213776722,0.256532067,1.056584362,1.315789474,17,0.7695962,0.128266033,0.641330166,1.45368171,0.042755344,0.58547878,0.153812595,0.256727388,0.286882021,0.448105831,0.362851767,0.706584405,0.36090864,0.637197046,0.629602186,0.398571154,0.242250366,0.598439464,0.386449881,0.188846672,0.657953602,0.802768471
Angeliño,Serie A,AS Roma,Defender,Ball-Winning Full-Back,1148,0.901754386,0.778169014,0.504065041,0,0.078397213,0.956217163,0.916666667,11,0.862369338,0.391986063,0.470383275,2.900696864,0.078397213,0.436391968,0.321677956,0.42035721,0.516334153,0.651631134,0.463256388,0.139361517,0.260458856,0.482787475,0.66671764,0.453787108,0.331739792,0.632717282,0.300294951,0.156560456,0.707568057,0.841693288
Z. Çelik,Serie A,AS Roma,Defender,Defensive Anchor / Stopper,666,0.879746835,0.846715328,0.580645161,0,0,1.071698113,1.6,14,1.621621622,0.675675676,0.945945946,3.378378378,0,0.724868501,0.61815403,0.380268162,0.329598189,0.595829172,0.846421211,0.334529174,0.187493756,0,0.61823307,0.363232958,0.402951415,0.609741539,0.525931821,0.164707375,0.639621758,0.814706052
L. Gianetti,Serie A,Udinese,Defender,Positional Defender,630,0.9125,0.920731707,0.75,0.142857143,0,0.885521886,0.571428571,4,1.428571429,0.857142857,0.571428571,5.571428571,0,0.085510836,0.677468657,0.36565637,1,0.268761243,0.530808234,0.455296095,0.18997864,0.402708839,0.282729895,0.473059063,0.268915087,0.745852846,0.185868076,0.165503596,0.715434966,0.828563096
J. Zemura,Serie A,Udinese,Defender,Ball-Winning Full-Back,1031,0.865168539,0.633027523,0.333333333,0.087293889,0,0.861209964,1.230769231,11,0.436469447,0.087293889,0.349175558,1.833171678,0,0.686964833,0.280498686,0.381041149,0.776449404,0.813197906,0.442959426,0.390599246,0.118992584,0.556888333,0.796865924,0.369010095,0.271167442,0.445455456,0.152965652,0.18154624,0.669756782,0.806850839
H. Kamara,Serie A,Udinese,Defender,Ball-Winning Full-Back,2240,0.869436202,0.768488746,0.456140351,0.040178571,0.040178571,0.950871632,1.230769231,25,1.165178571,0.080357143,1.084821429,2.651785714,0,0.582925215,0.355205792,0.551899453,0.566023887,0.644813391,0.739417228,0.344190571,0.198688272,0.669940236,0.503865369,0.452779953,0.317402586,0.747678568,0.45715975,0.150990601,0.627513471,0.845517462
K. Ehizibue,Serie A,Udinese,Defender,Defensive Anchor / Stopper,954,0.840336134,0.678571429,0.44,0,0.094339623,0.849514563,0.875,11,1.981132075,0.283018868,1.698113208,3.396226415,0,0.6712124,0.450661898,0.998520844,0.373122375,0.600734104,0.691970707,0.27165198,0.299078879,0.746017097,0.324955417,0.547775338,0.380136276,0.737189008,0.219464969,0.104780778,0.473916448,0.893034158
T. Kristensen,Serie A,Udinese,Defender,Positional Defender,2096,0.853420195,0.79197995,0.583333333,0,0.042938931,0.869908016,0.96,21,1.245229008,0.858778626,0.386450382,5.066793893,0,0.270478598,0.470023101,0.610919906,0.62565511,0.805274736,0.648375628,0.361981486,0.313302295,0.400572915,0.440801041,0.374934883,0.43198103,0.555309467,0.276532026,0.176530844,0.666614148,0.800326643
Juan Jesus,Serie A,Napoli,Defender,Ball-Playing Centre-Back,2118,0.929389313,0.943157895,0.74,0.042492918,0,0.914843288,0.678571429,23,0.97733711,0.509915014,0.467422096,2.847025496,0.042492918,0.283559167,0.432636157,0.232166922,0.35888786,0.523453946,0.469421114,0.206299841,0.150204421,0.340656515,0.285184633,0.635006463,0.408321742,0.605522858,0.538161127,0.144781775,0.74265791,0.83898512
L. Spinazzola,Serie A,AS Roma,Defender,Ball-Winning Full-Back,1312,0.900900901,0.801608579,0.549019608,0.068597561,0.137195122,1.010670732,0.7,8,0.548780488,0.137195122,0.411585366,1.028963415,0,0.362813808,0.043941195,0.384661955,0.405100645,0.56579971,0.375036894,0.206312033,0.235373232,0.521743269,0.263097023,0.463021903,0.489196933,0.482546005,0.539161464,0.150407788,0.679461732,0.83613873
Amir Rrahmani,Serie A,Napoli,Defender,Ball-Playing Centre-Back,2603,0.947164948,0.94470478,0.710382514,0.103726469,0,0.938454419,1.588235294,16,0.829811756,0.345754898,0.484056857,3.111794084,0,0.202379494,0.289801927,0.175717839,0.303374571,0.685603283,0.831009565,0.592365352,0.162702482,0.680542332,0.48796115,0.437070502,0.392628008,0.694651051,0.48741965,0.175156384,0.689372837,0.812027767
M. Olivera,Serie A,Napoli,Defender,Defensive Anchor / Stopper,1573,0.940438871,0.871921182,0.636363636,0.057215512,0.057215512,1.033299697,1,23,2.002542912,0.343293071,1.659249841,1.430387794,0,0.694259016,0.64410126,0.432144053,0.120809013,0.328044898,0.70603476,0.302701813,0.202408557,0.717799348,0.424303269,0.608903254,0.34489402,0.572578618,0.429601158,0.07263829,0.640826137,0.909767495
Aarón Martín,Serie A,Genoa,Defender,Ball-Winning Full-Back,1381,0.902777778,0.744493392,0.421875,0,0.065170167,0.98853211,1.428571429,9,0.782041999,0.260680666,0.521361332,0.977552498,0,0.509906343,0.136277048,0.428343584,0.520938976,0.543297178,0.52137284,0.027051558,0.18762881,0.393620814,0.793165772,0.398476496,0.428644369,0.481276706,0.447297809,0.159885413,0.77627332,0.837700984
M. Bani,Serie A,Genoa,Defender,Ball-Playing Centre-Back,2310,0.912921348,0.909556314,0.524861878,0.077922078,0,0.844600527,0.555555556,11,1.987012987,1.207792208,0.779220779,4.519480519,0.038961039,0.120863221,0.438544298,0.829038954,0.338696955,0.365289577,0.46604184,0.311514258,0.186371501,0.399138113,0.706357322,0.424784234,0.430461859,0.577710617,0.59861755,0.160633503,0.578158495,0.840984469
M. Erlić,Serie A,Sassuolo,Defender,Ball-Playing Centre-Back,2626,0.859943978,0.892255892,0.530864198,0.034272658,0,0.81,0.846153846,20,1.062452399,0.548362529,0.514089871,4.386900228,0.034272658,0.255517968,0.374479862,0.56277866,0.543240406,0.716993402,0.563526695,0.352979107,0.216766671,0.497482715,0.565386814,0.538531252,0.358625588,0.772479785,0.740390695,0.18504036,0.604047724,0.80373833
