Player Name,League,Club,Position,Tactical Role,Minutes Played,Goals per 90,Goals Total,Shots per 90,Shots Total,Assists per 90,Assists Total,Duels Won per 90 (%),Dribbles per 90 (%),Key Passes per 90,Total Passes per 90,Pass Accuracy (%),Tackles per 90,Tackles Total,Interceptions per 90,Interceptions Total,Defensive Involvement & Ball Recovery,Defensive Involvement & Consistency,Final Third/Attacking Contribution,Defensive Pressing,Build-Up & Offensive Contribution,Passing & Technical Quality,Intensity & Ball-Carrying
giacomo bonaventura,Serie A,fiorentina,Midfielder,Deep-lying Playmaker,2287.0,0.314822912111937,8.0,1.259291648447748,32.0,0.1180585920419764,3.0,52.763819095477395,65.21739130434781,1.6134674245736775,41.871447310887625,82.4,1.0231744643637954,26.0,0.5509400961958898,14.0,0.2348238821036482,0.6373198676207246,0.5422890237622527,0.2444072280257858,0.7292468282137765,0.6055372532028394,0.2328083267392592
gianluca gaetano,Serie A,cagliari,Midfielder,Deep-lying Playmaker,751.0,0.4793608521970706,4.0,1.078561917443409,9.0,0.1198402130492676,1.0,32.67326732673268,41.66666666666666,1.9174434087882823,26.245006657789613,72.5,0.8388814913448736,7.0,0.3595206391478029,3.0,0.1689481935909512,0.7303958004722162,0.495756015544606,0.4047794198867813,0.4214024849383505,0.454272563802415,0.3499239395735443
giulio maggiore,Serie A,salernitana,Midfielder,Deep-lying Playmaker,1806.0,0.1993355481727574,4.0,0.8970099667774086,18.0,0.0996677740863787,2.0,49.57264957264957,46.153846153846146,0.5481727574750831,39.21926910299003,77.7,2.441860465116279,49.0,1.196013289036545,24.0,0.2609170100585259,0.1157273352931742,0.4534714899787365,0.3874907496417149,0.415927261888863,0.6037659731438448,0.2922802771062726
grigoris kastanos,Serie A,salernitana,Midfielder,Deep-lying Playmaker,1487.0,0.1815736381977135,3.0,1.089441829186281,18.0,0.1815736381977135,3.0,50.48543689320388,54.166666666666664,1.6946872898453262,33.89374579690652,70.5,1.3920645595158037,23.0,0.484196368527236,8.0,0.0656595597109914,0.6681721758836545,0.5672449111821604,0.2413767544628664,0.272492577403137,0.51740662669734,0.3924846058893314
habib diarra,Ligue 1,strasbourg,Midfielder,Deep-lying Playmaker,2313.0,0.1167315175097276,3.0,0.9727626459143968,25.0,0.0389105058365758,1.0,46.6403162055336,62.264150943396224,0.8171206225680935,32.99610894941634,84.1,1.1673151750972763,30.0,0.7003891050583657,18.0,0.19874701562733,0.6397208755874462,0.4830580144339134,0.2620662158050332,0.4352054333753297,0.4108872872351298,0.4367284270449084
habib keita,Ligue 1,clermont foot,Midfielder,Positional Anchor,1270.0,0.0708661417322834,1.0,0.9921259842519684,14.0,0.0,0.0,56.87500000000001,58.33333333333333,0.7086614173228346,47.40944881889765,87.6,2.409448818897638,34.0,1.984251968503937,28.0,0.4175782188194537,0.2518595824970981,0.3723363950192019,0.6106981850944873,0.5635816759879677,0.4920515580069675,0.3839694969367989
hakan çalhanoğlu,Serie A,inter,Midfielder,Deep-lying Playmaker,2576.0,0.4541925465838509,13.0,1.5722049689440991,45.0,0.1048136645962733,3.0,57.54716981132074,49.999999999999986,1.8517080745341616,75.11645962732919,62.0,2.3059006211180124,66.0,0.8385093167701864,24.0,0.2817470506605606,0.7528983101099842,0.5896568494649892,0.6563268973397807,0.7795529808143988,0.3063976217600327,0.4744975985434976
hamza rafia,Serie A,lecce,Midfielder,Deep-lying Playmaker,1210.0,0.0743801652892562,1.0,0.5950413223140496,8.0,0.0,0.0,48.768472906403936,46.15384615384617,1.115702479338843,34.289256198347104,71.2,3.2727272727272725,44.0,0.8181818181818181,11.0,0.0822294814566615,0.7018306741403502,0.4843589553706195,0.6117276437779288,0.4972768105657986,0.4643382640196452,0.5300920940402492
hans hateboer,Serie A,atalanta,Midfielder,Deep-lying Playmaker,1103.0,0.0,0.0,0.7343608340888486,9.0,0.0815956482320942,1.0,47.2972972972973,66.66666666666666,1.7951042611060744,36.71804170444243,83.4,0.9791477787851316,12.0,0.3263825929283771,4.0,0.3707839711042417,0.4512248853549092,0.5124813362867437,0.6404842802076087,0.4780485577925659,0.2859133164212373,0.1954562967780968
henrikh mkhitaryan,Serie A,inter,Midfielder,Deep-lying Playmaker,2804.0,0.0641940085592011,2.0,0.8987161198288159,28.0,0.2246790299572039,7.0,53.41880341880342,52.77777777777778,1.2838801711840229,51.41940085592012,86.5,1.9900142653352355,62.0,0.9308131241084164,29.0,0.1441928831021545,0.7173662818789421,0.3946221793463985,0.5312565570910843,0.3000122408237654,0.4576208082297936,0.3912582152398072
hicham boudaoui,Ligue 1,nice,Midfielder,Positional Anchor,1612.0,0.1116625310173697,2.0,0.8933002481389578,16.0,0.0,0.0,56.157635467980306,56.41025641025642,1.1724565756823822,38.579404466501245,83.8,2.2332506203473947,40.0,0.6141439205955335,11.0,0.4457147194621561,0.1898360952229542,0.4180805121692256,0.2332583858138613,0.339210694811157,0.4025686366680585,0.2540937706386016
houssem aouar,Serie A,roma,Midfielder,Deep-lying Playmaker,756.0,0.4761904761904761,4.0,1.1904761904761905,10.0,0.0,0.0,48.0,61.111111111111114,1.1904761904761905,41.19047619047619,83.6,1.9047619047619049,16.0,0.4761904761904761,4.0,0.3927959364269429,0.7003899892730704,0.3238475894992664,0.2015749373323946,0.5180044455701285,0.4703599055512346,0.4691478674996876
hugo alvarez,La Liga,celta vigo,Midfielder,Final-Third Playmaker,762.0,0.1181102362204724,1.0,0.9448818897637796,8.0,0.1181102362204724,1.0,47.31182795698925,61.53846153846153,2.2440944881889764,43.81889763779528,83.5,1.653543307086614,14.0,0.5905511811023622,5.0,0.5302149484051438,0.6588826888428735,0.428662098296428,0.3412768218734305,0.5320404071228996,0.4371528415116912,0.2338275077420061
hugo guillamon,La Liga,valencia,Midfielder,Final-Third Playmaker,1306.0,0.0689127105666156,1.0,0.2067381316998468,3.0,0.0,0.0,51.162790697674424,100.0,0.6202143950995406,47.2052067381317,81.2,1.653905053598775,24.0,0.8269525267993875,12.0,0.7072455672110607,0.7410416570241013,0.5078874246099342,0.295163573202497,0.5331747638144544,0.4075362606735418,0.5443527667124425
hugo magnetti,Ligue 1,brest,Midfielder,Positional Anchor,2355.0,0.0764331210191082,2.0,0.8789808917197451,23.0,0.0,0.0,49.52830188679245,70.27027027027027,0.9171974522292992,42.4203821656051,88.2,1.872611464968153,49.0,0.6878980891719745,18.0,0.3980300052092692,0.1888605157805363,0.4870752152298064,0.4546582789920181,0.6572907815672706,0.4562072055196055,0.4368937660383414
hugo sotelo,La Liga,celta vigo,Midfielder,Final-Third Playmaker,720.0,0.0,0.0,0.75,6.0,0.125,1.0,39.53488372093023,60.0,1.875,69.25,87.6,2.5,20.0,0.25,2.0,0.7812195116732668,0.8185896055545483,0.544005409884498,0.5224802007639745,0.5065498880820691,0.6695507170114902,0.1451451170758536
hákon arnór haraldsson,Ligue 1,lille,Midfielder,Positional Anchor,1287.0,0.1398601398601398,2.0,0.6993006993006993,10.0,0.0,0.0,44.444444444444436,46.87499999999999,1.048951048951049,37.41258741258741,0.0,0.8391608391608392,12.0,0.2097902097902098,3.0,0.4661692503828571,0.8116240362257238,0.582698696517578,0.4434412427678843,0.502130564763602,0.2662681612406649,0.2565142813606959
i. gundogan,La Liga,barcelona,Midfielder,Final-Third Playmaker,2998.0,0.1501000667111407,5.0,0.9606404269513008,32.0,0.2701801200800534,9.0,51.12107623318386,62.962962962962976,2.9119412941961307,70.12675116744497,58.0,0.9306204136090728,31.0,0.6304202801867912,21.0,0.7119097737691757,0.7544810842404526,0.3200707149046062,0.4060856067220681,0.6422888466949513,0.5204582265111277,0.5048809736344048
i. rakitic,La Liga,sevilla,Midfielder,Positional Anchor,1426.0,0.126227208976157,2.0,1.3253856942496494,21.0,0.0631136044880785,1.0,57.50000000000001,47.05882352941177,3.0925666199158486,58.94810659186536,42.0,1.893408134642356,30.0,0.8835904628330995,14.0,0.4208647133670984,0.1042299087883757,0.3319627373231695,0.3113149751746393,0.4458770788242884,0.3756430982282355,0.258082585929668
ibrahim sulemana,Serie A,cagliari,Midfielder,Deep-lying Playmaker,1344.0,0.1339285714285714,2.0,0.6696428571428571,10.0,0.0,0.0,49.28571428571429,52.941176470588225,0.2678571428571428,29.196428571428573,79.9,2.4107142857142856,36.0,0.46875,7.0,0.208367597660817,0.4203603929399861,0.5494185055438504,0.516407298681474,0.5010342651167672,0.5002485634046608,0.4827243416786227
ibrahima sissoko,Ligue 1,strasbourg,Midfielder,Positional Anchor,1639.0,0.0,0.0,0.4392922513727882,8.0,0.0549115314215985,1.0,50.24875621890548,61.111111111111114,0.6589383770591825,41.01891397193411,81.6,2.5808419768151314,47.0,1.043319097010372,19.0,0.4235266969643029,0.8686453360267502,0.3975270103999332,0.8860209837303332,0.6258773037484944,0.4697392119235783,0.4273024221230349
iker munoz,La Liga,osasuna,Midfielder,Final-Third Playmaker,1852.0,0.1943844492440604,4.0,0.7775377969762419,16.0,0.0,0.0,59.27419354838709,30.76923076923076,0.2429805615550755,47.138228941684666,74.6,1.5550755939524838,32.0,0.5345572354211663,11.0,0.903393827428612,0.9723315268831147,0.8087570923545176,0.6545755159167177,0.6174984616695087,0.6773071148337386,0.4119915026390965
imran louza,Ligue 1,lorient,Midfielder,Positional Anchor,866.0,0.1039260969976905,1.0,1.4549653579676676,14.0,0.3117782909930716,3.0,50.53763440860215,58.82352941176469,2.5981524249422634,54.04157043879907,79.8,1.3510392609699768,13.0,0.9353348729792148,9.0,0.4874475998337052,0.1604723798770067,0.3751434646397736,0.3463028395304546,0.5939062086057603,0.3508502801961668,0.5816957488113992
ismaël bennacer,Serie A,milan,Midfielder,Deep-lying Playmaker,1151.0,0.156385751520417,2.0,0.5473501303214596,7.0,0.156385751520417,2.0,53.125,62.96296296296296,1.3292788879235446,60.83405734144222,0.0,2.267593397046047,29.0,0.9383145091225022,12.0,0.1011909121465748,0.6426096039646039,0.5968922581223035,0.2144948073148285,0.116096906903824,0.4766491323852853,0.2885064592583664
ivan alejo,La Liga,cadiz,Midfielder,Final-Third Playmaker,1702.0,0.0,0.0,0.4759106933019977,9.0,0.1057579318448883,2.0,43.642611683848806,42.85714285714286,0.8460634547591069,16.075205640423032,50.9,2.062279670975323,39.0,0.3701527614571093,7.0,0.7583499277867249,0.6117159827940968,0.2264973368134069,0.409983478613676,0.3858509076079023,0.3526350786986826,0.0427113218929519
ivan ilić,Serie A,torino,Midfielder,Deep-lying Playmaker,2101.0,0.1285102332222751,3.0,0.8567348881485006,20.0,0.08567348881485,2.0,49.41176470588234,54.545454545454554,2.0133269871489765,52.81770585435507,0.0,0.9424083769633508,22.0,0.8567348881485006,20.0,0.3160900386824964,0.757465289897222,0.4376781465442914,0.3877013353593474,0.3591276036792039,0.388844364627649,0.3683168973763419
j. bellingham,La Liga,real madrid,Midfielder,Final-Third Playmaker,2324.0,0.7358003442340793,19.0,1.897590361445783,49.0,0.2323580034423408,6.0,54.78260869565217,58.82352941176471,1.8588640275387265,58.0895008605852,48.0,1.6652323580034425,43.0,0.8132530120481928,21.0,0.5119064462819894,0.5821465933399391,0.2179378155088095,0.2348397884310952,0.5059250643422194,0.3744624732731638,0.2844614831159857
jacopo fazzini,Serie A,empoli,Midfielder,Deep-lying Playmaker,1226.0,0.0734094616639478,1.0,0.8809135399673735,12.0,0.0734094616639478,1.0,49.549549549549546,54.054054054054056,1.761827079934747,32.22675367047308,68.7,3.597063621533442,49.0,0.8809135399673735,12.0,0.3304710893314695,0.1538150115672957,0.6786058955925083,0.2616718083296355,0.3403354390904137,0.5507273596522926,0.4958795080830367
jakub jankto,Serie A,cagliari,Midfielder,Deep-lying Playmaker,880.0,0.1022727272727272,1.0,1.125,11.0,0.2045454545454545,2.0,42.10526315789473,33.33333333333331,0.7159090909090908,22.39772727272728,63.6,1.2272727272727273,12.0,0.5113636363636364,5.0,0.3715971099391135,0.7227319411027822,0.115760205611098,0.5565556370376562,0.1837719347364611,0.3488729370474328,0.5756214530812469
jean n'duquidi,Ligue 1,metz,Midfielder,Deep-lying Playmaker,553.0,0.0,0.0,0.325497287522604,2.0,0.0,0.0,48.88888888888889,33.33333333333333,0.162748643761302,23.598553345388787,0.0,1.139240506329114,7.0,1.62748643761302,10.0,0.1959449778436914,0.6647430625631875,0.3252616054041162,0.6574340860998813,1.0,0.4194357711799049,0.1807238516015092
jean-daniel akpa-akpro,Serie A,monza,Midfielder,Deep-lying Playmaker,702.0,0.0,0.0,0.8974358974358975,7.0,0.0,0.0,46.478873239436616,49.99999999999999,0.1282051282051282,33.58974358974359,83.7,2.5641025641025643,20.0,1.5384615384615383,12.0,0.1972204485013676,0.6455776358638493,0.3958543201243507,0.4302667382177911,0.4760540312783914,0.53569378549,0.3601971247355891
jens cajuste,Serie A,napoli,Midfielder,Deep-lying Playmaker,1008.0,0.0,0.0,0.9821428571428572,11.0,0.1785714285714285,2.0,49.37500000000001,62.96296296296296,1.3392857142857142,37.5,84.8,3.214285714285714,36.0,0.3571428571428571,4.0,0.3810360561903688,0.7571300531511407,0.265868146177837,0.67155727793057,0.5569445836129354,0.4887297484968842,0.4646942252388397
joan gonzalez,Serie A,lecce,Midfielder,Deep-lying Playmaker,1285.0,0.0700389105058365,1.0,0.7704280155642024,11.0,0.0700389105058365,1.0,57.14285714285714,67.85714285714286,1.050583657587549,31.16731517509728,75.2,2.171206225680934,31.0,0.3501945525291828,5.0,0.2965448613997575,0.6320857137381523,0.5435808756518477,0.2141405634061291,0.5833459894110766,0.3985617707259398,0.251163062709907
