Player Name,League,Club,Position,Tactical Role,Minutes Played,Goals per 90,Goals Total,Shots per 90,Shots Total,Assists per 90,Assists Total,Duels Won per 90 (%),Dribbles per 90 (%),Key Passes per 90,Total Passes per 90,Pass Accuracy (%),Tackles per 90,Tackles Total,Interceptions per 90,Interceptions Total,Defensive Involvement & Ball Recovery,Defensive Involvement & Consistency,Final Third/Attacking Contribution,Defensive Pressing,Build-Up & Offensive Contribution,Passing & Technical Quality,Intensity & Ball-Carrying
julien martin,Ligue 1,brest,Midfielder,Deep-lying Playmaker,1193.0,0.0,0.0,0.6035205364626991,8.0,0.0754400670578373,1.0,53.846153846153854,45.45454545454546,1.1316010058675607,71.2154233025985,0.0,3.2439228834870075,43.0,0.6789606035205364,9.0,0.153885591170898,0.6901718778794181,0.3207418248276396,0.7731121920279851,0.5719727546044857,0.3169321857218207,0.4374463392782972
junior mwanga,Ligue 1,strasbourg,Midfielder,Positional Anchor,1457.0,0.061770761839396,1.0,0.9265614275909404,15.0,0.061770761839396,1.0,55.43478260869564,65.11627906976743,0.8030199039121483,31.62663006177076,79.8,2.4708304735758406,40.0,1.0501029512697322,17.0,0.3184800393322249,0.1702742474824723,0.3997210608172813,0.4010510006742677,0.6249223162951354,0.5191868082699818,0.3249589646678875
jérémy deminguet,Ligue 1,strasbourg,Midfielder,Positional Anchor,687.0,0.0,0.0,0.3930131004366812,3.0,0.0,0.0,42.46575342465754,33.33333333333333,0.2620087336244541,31.70305676855895,0.0,1.834061135371179,14.0,1.1790393013100435,9.0,0.452271724710336,0.7031619853769884,0.3304840061653795,0.3089177272066148,0.396359016656209,0.2673655090044581,0.2811520503058027
k. urbaaski,Serie A,bologna,Midfielder,Deep-lying Playmaker,920.0,0.0,0.0,0.782608695652174,8.0,0.0978260869565217,1.0,55.645161290322584,62.5,1.6630434782608696,35.119565217391305,0.0,1.6630434782608696,17.0,0.391304347826087,4.0,0.1736649262307839,0.7063843891926821,0.4644948124366103,0.4725457149048568,0.6525706321579391,0.330034136579734,0.3773016299570315
kalifa doumbia,Ligue 1,brest,Midfielder,Positional Anchor,870.0,0.6206896551724138,6.0,1.9655172413793105,19.0,0.5172413793103449,5.0,43.26241134751774,46.42857142857143,1.2413793103448276,49.24137931034483,0.0,2.896551724137931,28.0,0.9310344827586208,9.0,0.4403089201968843,0.23288376202244,0.415233519324128,0.5495410162187211,0.3090201658791235,0.3890508197188124,0.3906949083156859
karol linetty,Serie A,torino,Midfielder,Deep-lying Playmaker,1859.0,0.0,0.0,0.5809575040344271,12.0,0.0,0.0,41.57303370786518,53.33333333333332,0.7261968800430338,41.586874663797744,85.4,1.4523937600860677,30.0,1.113501882732652,23.0,0.2135000936277274,0.7934538501919288,0.3320650858035612,0.5559704374386492,0.3830573940999847,0.3894276410394978,0.4451463832186498
kevin n'doram,Ligue 1,metz,Midfielder,Positional Anchor,1604.0,0.0,0.0,0.2244389027431421,4.0,0.112219451371571,2.0,52.910052910052904,41.66666666666667,0.4488778054862842,38.82793017456359,78.7,2.0199501246882794,36.0,1.6271820448877807,29.0,0.2876310873980614,0.2157074348898012,0.3608894202460098,0.7308266652797314,0.591406077740371,0.3280055951782612,0.4416330733444022
kevin strootman,Serie A,genoa,Midfielder,Deep-lying Playmaker,1209.0,0.0,0.0,0.0744416873449131,1.0,0.1488833746898263,2.0,46.78899082568807,66.66666666666666,1.6377171215880897,47.5682382133995,82.1,2.5310173697270475,34.0,0.5210918114143921,7.0,0.283184344578213,0.6332299378059223,0.1773681248748208,0.3076523172383412,0.3041000822000111,0.4712074014672327,0.1770783105275721
khalil fayad,Ligue 1,montpellier,Midfielder,Deep-lying Playmaker,1022.0,0.2641878669275929,3.0,1.0567514677103718,12.0,0.0,0.0,50.0,47.61904761904763,0.7045009784735812,28.708414872798432,80.0,2.4657534246575343,28.0,1.2328767123287672,14.0,0.2257625521854855,0.7182891493090298,0.4671338874600192,0.4912625681872293,0.5993505097326632,0.3984823584952907,0.5994595727169141
khéphren thuram,Ligue 1,nice,Midfielder,Positional Anchor,2115.0,0.0425531914893617,1.0,1.2340425531914894,29.0,0.0425531914893617,1.0,49.78723404255319,58.33333333333333,1.319148936170213,47.06382978723404,0.0,1.74468085106383,41.0,0.7659574468085106,18.0,0.3079180782783862,0.262977073919283,0.4649527160054019,0.7310768338436189,0.6551895213944415,0.388531713100972,0.4153296620403123
kike perez,La Liga,rayo vallecano,Midfielder,Final-Third Playmaker,830.0,0.108433734939759,1.0,0.9759036144578314,9.0,0.0,0.0,42.26804123711341,32.142857142857146,0.7590361445783133,36.97590361445784,75.8,3.036144578313253,28.0,0.8674698795180724,8.0,0.647061695694584,0.806130588998221,0.4726882161904059,0.4479293550957363,0.4873797579278852,0.3298196425285642,0.2618352846950568
kirian rodriguez,La Liga,las palmas,Midfielder,Final-Third Playmaker,3216.0,0.167910447761194,6.0,0.7276119402985074,26.0,0.0559701492537313,2.0,45.33333333333333,74.28571428571428,1.0354477611940298,84.2910447761194,88.3,1.4552238805970148,52.0,0.7555970149253731,27.0,0.548062957581909,0.8584492454703488,0.5780904574360739,0.6191720648304567,0.5565450976865853,0.3283477447730637,0.9618820781146148
koke,La Liga,atletico madrid,Midfielder,Final-Third Playmaker,2504.0,0.0,0.0,0.2156549520766773,6.0,0.1437699680511182,4.0,50.24390243902439,45.45454545454544,0.970447284345048,80.40335463258786,90.0,2.300319488817891,64.0,0.5391373801916932,15.0,0.6196407912970757,0.7273361224598802,0.6289594973837977,0.2519661524122857,0.7695654241210352,0.3629512863995817,1.0
krepin diatta,Ligue 1,monaco,Midfielder,Positional Anchor,1195.0,0.0,0.0,0.4518828451882845,6.0,0.1506276150627615,2.0,56.60377358490566,67.44186046511626,1.7322175732217573,46.39330543933054,76.5,2.786610878661088,37.0,1.205020920502092,16.0,0.5174190009816148,0.8135376644632815,0.4184501015446593,0.4204505119076057,0.4832544353184032,0.4853841670909006,0.2383199566558685
kristian thorstvedt,Serie A,sassuolo,Midfielder,Deep-lying Playmaker,2412.0,0.2238805970149253,6.0,1.2686567164179106,34.0,0.0373134328358209,1.0,45.59748427672955,44.11764705882353,1.3059701492537312,34.40298507462686,72.6,1.417910447761194,38.0,0.6343283582089553,17.0,0.3126466973458062,0.6908081205971368,0.435876584613969,0.4537690952711926,0.5309586737442242,0.3019494951532153,0.2378927781254275
kristjan asllani,Serie A,inter,Midfielder,Deep-lying Playmaker,771.0,0.1167315175097276,1.0,1.634241245136187,14.0,0.2334630350194552,2.0,56.86274509803921,74.99999999999997,0.933852140077821,73.30739299610894,89.0,0.7003891050583657,6.0,1.1673151750972763,10.0,0.1983996539883251,0.4340098674950148,0.3452585313129546,0.5935207564132744,0.4998395614523753,0.5183530019921873,0.4157327746119308
l. modric,La Liga,real madrid,Midfielder,Positional Anchor,1686.0,0.1067615658362989,2.0,1.0142348754448398,19.0,0.3202846975088967,6.0,47.6510067114094,56.75675675675676,3.04270462633452,83.38078291814946,44.0,1.1209964412811388,21.0,1.1209964412811388,21.0,0.6064388997091957,0.2396152318369694,0.583452617197787,0.1902540619387621,0.6034973724252105,0.5153049066817508,0.5646063203096645
lameck banda,Serie A,lecce,Midfielder,Deep-lying Playmaker,1360.0,0.1323529411764706,2.0,2.25,34.0,0.2647058823529412,4.0,43.54838709677419,45.652173913043484,1.588235294117647,18.86029411764705,73.1,1.7867647058823528,27.0,0.1985294117647058,3.0,0.3022974859261551,0.5491742539993911,0.2789434926537427,0.2622511030630112,0.5281569614617045,0.406304198917216,0.2055700911823682
lamine camara,Ligue 1,metz,Midfielder,Positional Anchor,2263.0,0.0397702165267344,1.0,0.9544851966416262,24.0,0.1988510826336721,5.0,48.88888888888888,44.64285714285714,1.7101193106495802,36.5090587715422,72.7,2.6646045072912066,67.0,1.2726469288555016,32.0,0.6378122561219491,0.3221542454892512,0.516407294992889,0.532626233013426,0.3912012982488672,0.5708659633916808,0.2495454267328123
lassana coulibaly,Serie A,salernitana,Midfielder,Deep-lying Playmaker,2087.0,0.0,0.0,0.3881169142309535,9.0,0.043124101581217,1.0,47.211895910780676,45.45454545454545,0.4743651173933876,37.00047915668424,84.3,2.0268327743172017,47.0,0.6899856252994729,16.0,0.0781873576601548,0.6616664667711821,0.4761368504229023,0.54161141311958,0.4109579163981322,0.4018381409094162,0.4940265537350735
laurent abergel,Ligue 1,lorient,Midfielder,Positional Anchor,2862.0,0.0628930817610062,2.0,0.5974842767295597,19.0,0.0314465408805031,1.0,53.89221556886227,70.96774193548389,0.9433962264150944,56.0377358490566,84.5,2.672955974842768,85.0,1.918238993710692,61.0,0.4122179867088836,0.8128669566511235,0.4718266989811056,0.384702118762555,0.3323512761725133,0.4710914638127257,0.3184682993030898
lazar samardžić,Serie A,udinese,Midfielder,Deep-lying Playmaker,2380.0,0.226890756302521,6.0,1.4369747899159662,38.0,0.0756302521008403,2.0,43.75000000000001,48.95833333333332,2.3445378151260505,31.651260504201684,0.0,1.512605042016807,40.0,0.3781512605042016,10.0,0.2733689689639891,0.74833598031604,0.4189787434243797,0.7867046448277176,0.0976070796599029,0.4394212261528278,0.5450943259054333
leandro paredes,Serie A,roma,Midfielder,Deep-lying Playmaker,2646.0,0.1020408163265306,3.0,0.7482993197278911,22.0,0.1700680272108843,5.0,55.33980582524273,57.14285714285716,0.9183673469387754,69.1156462585034,88.3,1.9387755102040816,57.0,0.9863945578231292,29.0,0.2976737161199962,0.6935338269874007,0.5633895929414737,0.2444227783982788,0.5978798442815203,0.4118979298330739,0.3636399063258657
lee kang-in,Ligue 1,paris sg,Midfielder,Positional Anchor,1470.0,0.1836734693877551,3.0,0.7959183673469389,13.0,0.2448979591836734,4.0,47.82608695652174,55.55555555555556,1.653061224489796,55.28571428571429,82.6,1.5918367346938778,26.0,0.3673469387755102,6.0,0.2752098818750584,0.2944349780407952,0.4228136856810586,0.5800243175923897,0.5390459392639753,0.4525626082206166,0.4133159997194149
lewis ferguson,Serie A,bologna,Midfielder,Deep-lying Playmaker,2718.0,0.1986754966887417,6.0,1.2913907284768211,39.0,0.0993377483443708,3.0,51.147540983606554,48.275862068965516,1.0596026490066226,57.81456953642384,88.4,1.225165562913907,37.0,0.5629139072847682,17.0,0.3105548002974478,0.7281012454610416,0.5518596007636716,0.4162860723140749,0.6020404645152239,0.2700071199702224,0.2626959508078599
lorenzo pellegrini,Serie A,roma,Midfielder,Deep-lying Playmaker,1865.0,0.386058981233244,8.0,1.5924932975871315,33.0,0.1447721179624664,3.0,47.417840375586856,54.28571428571429,1.8337801608579087,37.206434316353885,78.2,1.6890080428954422,35.0,0.96514745308311,20.0,0.4394221714017029,0.8114015945783537,0.4943183279478426,0.686202515829055,0.5466329029294296,0.4056804519524522,0.4798508687066253
luca mazzitelli,Serie A,frosinone,Midfielder,Deep-lying Playmaker,2222.0,0.2025202520252025,5.0,1.4986498649864983,37.0,0.0,0.0,50.375939849624054,64.70588235294117,0.5265526552655265,50.79207920792079,74.4,1.8226822682268224,45.0,0.7695769576957696,19.0,0.2152377906040741,0.6631467738299137,0.519830998861615,0.400565145327566,0.6118233993210851,0.4437407728741872,0.3546295359066036
lucas torro,La Liga,osasuna,Midfielder,Final-Third Playmaker,1793.0,0.0501952035694367,1.0,1.154489682097044,23.0,0.0,0.0,51.30434782608696,87.5,0.4517568321249302,39.8047964305633,75.7,1.254880089235917,25.0,1.6564417177914113,33.0,0.471574971884766,0.3672536167151152,0.0294924835247968,0.7199859288305547,0.5682339680983575,0.4452567956589696,0.5090128168389044
ludovic blas,Ligue 1,rennes,Midfielder,Deep-lying Playmaker,1566.0,0.2298850574712644,4.0,1.6666666666666663,29.0,0.0574712643678161,1.0,39.83050847457626,39.0625,1.149425287356322,25.6896551724138,78.1,1.7241379310344829,30.0,0.3448275862068965,6.0,0.326288656939971,0.7780389739532869,0.495549903507507,0.5409198249005737,0.5535976767556189,0.3876653832689436,0.4964020457993416
luis alberto,Serie A,lazio,Midfielder,Deep-lying Playmaker,2321.0,0.1938819474364498,5.0,1.5898319689788885,41.0,0.2714347264110297,7.0,45.8128078817734,60.97560975609756,2.481688927186557,58.3196897888841,77.6,1.3571736320551486,35.0,0.2714347264110297,7.0,0.3636279070543499,0.7555279264679129,0.726467428949022,0.5713459089937485,0.4254280044484014,0.3687838594924097,0.6198002303685
luis milla,La Liga,getafe,Midfielder,Final-Third Playmaker,2122.0,0.0,0.0,0.5937794533459001,14.0,0.0424128180961357,1.0,51.639344262295076,37.93103448275861,1.2723845428840717,49.19886899151744,79.4,2.417530631479736,57.0,1.3572101790763431,32.0,0.5136896716896346,0.8826106390626678,0.8174938371463452,0.664524052550214,0.2638023525371702,0.347549247096106,0.0911511308003664
m. perrone,La Liga,las palmas,Midfielder,Final-Third Playmaker,1630.0,0.0,0.0,0.3865030674846626,7.0,0.0,0.0,42.77456647398844,50.0,0.4969325153374233,72.05521472392638,40.0,2.263803680981596,41.0,1.3251533742331287,24.0,0.6289803814520314,0.7517576336921573,0.3808254058252766,0.3140100257660427,0.4801006222795573,0.4356393502393833,0.4065452386493578
m. ruggeri,Serie A,atalanta,Midfielder,Deep-lying Playmaker,2466.0,0.0,0.0,0.3284671532846715,9.0,0.145985401459854,4.0,52.6829268292683,56.75675675675676,0.8759124087591241,45.98540145985402,0.0,1.0583941605839415,29.0,0.8394160583941606,23.0,0.2384743098860415,0.7402005276978729,0.4667305038101909,0.517046478289075,0.6118555160396633,0.3822031764184837,0.2983390536543788
maghnes akliouche,Ligue 1,monaco,Midfielder,Positional Anchor,1618.0,0.3893695920889987,7.0,1.7243510506798516,31.0,0.2224969097651421,4.0,42.127659574468076,55.10204081632652,2.169344870210136,42.83065512978987,77.4,2.058096415327565,37.0,0.5006180469715699,9.0,0.3620416458112718,0.5829079368740756,0.3452404624688676,0.2380779503394172,0.5635837846073231,0.4909302011045044,0.2670890077459055
manu morlanes,La Liga,mallorca,Midfielder,Final-Third Playmaker,1610.0,0.0,0.0,0.2795031055900621,5.0,0.1118012422360248,2.0,57.812500000000014,77.77777777777779,0.8944099378881988,43.54658385093168,82.7,2.739130434782609,49.0,1.1180124223602483,20.0,0.7405715814319076,0.7762046613234462,0.4497112069147039,0.1586849950489955,0.6497229693046563,0.4579070238877839,0.7096908229249421
manuel lazzari,Serie A,lazio,Midfielder,Deep-lying Playmaker,1674.0,0.0,0.0,0.3225806451612903,6.0,0.1075268817204301,2.0,52.94117647058824,52.38095238095239,0.4838709677419355,41.61290322580645,84.7,1.4516129032258065,27.0,0.6451612903225806,12.0,0.290038297717107,0.7258412021537868,0.3249304057374892,0.3376143130938019,0.581889252033631,0.501828271954562,0.3213023423053747
manuel locatelli,Serie A,juventus,Midfielder,Deep-lying Playmaker,3011.0,0.0298904018598472,1.0,0.4184656260378612,14.0,0.1195616074393889,4.0,56.17021276595745,72.22222222222224,0.777150448356028,58.55529724344071,85.7,2.0624377283294586,69.0,0.7472600464961807,25.0,0.2867586650100605,0.7006433966014824,0.3243182115335106,0.448239582710887,0.6756551210037246,0.2183205299794509,0.2014814665154743
manuel ugarte,Ligue 1,paris sg,Midfielder,Positional Anchor,1935.0,0.0,0.0,0.3255813953488372,7.0,0.0930232558139534,2.0,53.13531353135312,58.33333333333333,0.6511627906976744,61.674418604651166,48.0,4.604651162790698,99.0,1.8604651162790693,40.0,0.5092552987288282,0.7866628701778421,0.5790590754696281,0.4440597821119685,0.800389134624275,0.4960174498046081,0.4491797780890111
marco brescianini,Serie A,frosinone,Midfielder,Deep-lying Playmaker,2321.0,0.1551055579491598,4.0,0.7755277897457992,20.0,0.0775527789745799,2.0,40.17094017094017,53.65853658536586,0.8918569582076691,29.15984489444205,78.6,1.085738905644119,28.0,0.3877638948728996,10.0,0.4130024588517276,0.6979694645061172,0.287504814099413,0.4414102418018908,0.6284475463077912,0.5402866761136252,0.3994498990436349
marcos llorente,La Liga,atletico madrid,Midfielder,Final-Third Playmaker,2569.0,0.2101985208252238,6.0,0.9458933437135072,27.0,0.1401323472168158,4.0,44.81132075471698,52.17391304347825,0.9458933437135072,37.41533670688984,79.9,1.401323472168159,40.0,0.4554301284546516,13.0,0.627780196198922,0.7608815615054196,0.3820927406920383,0.4900530571745796,0.5522689463665285,0.4735946986932322,0.5232569287937643
mario pašalić,Serie A,atalanta,Midfielder,Deep-lying Playmaker,2051.0,0.2632862018527547,6.0,1.3603120429058997,31.0,0.2632862018527547,6.0,47.023809523809526,47.61904761904761,1.3603120429058997,47.74256460263287,0.0,1.1409068746952706,26.0,0.7020965382740126,16.0,0.3288511301275428,0.604006078595416,0.338276864796034,0.3459621579185633,0.8072473173254492,0.4220890144851644,0.2903296318309558
marshall munetsi,Ligue 1,reims,Midfielder,Positional Anchor,2178.0,0.1652892561983471,4.0,1.4462809917355373,35.0,0.1239669421487603,3.0,49.46619217081851,32.25806451612904,0.4958677685950413,21.48760330578512,70.1,2.520661157024793,61.0,0.5785123966942148,14.0,0.5651084758711689,0.2076897760343634,0.4058028542355526,0.231832235840314,0.4586567171575118,0.299732155547171,0.5301399377235536
marten de roon,Serie A,atalanta,Midfielder,Deep-lying Playmaker,2599.0,0.0,0.0,0.4155444401692958,12.0,0.1731435167372066,5.0,52.78810408921933,37.49999999999997,0.7964601769911505,58.17622162370143,84.5,2.770296267795306,80.0,1.385148133897653,40.0,0.32816573177362,0.6287931648791089,0.2869056076212755,0.5773411980324242,0.3819545250375127,0.4415965421508394,0.4251615231960292
martin hongla,Serie A,verona,Midfielder,Deep-lying Playmaker,1084.0,0.0,0.0,0.1660516605166051,2.0,0.0,0.0,63.15789473684211,75.00000000000001,0.7472324723247232,38.5239852398524,0.0,1.9926199261992616,24.0,0.5811808118081181,7.0,0.2540602635386481,0.7493718094767,0.3499464714146229,0.6184259993311273,0.5007898346175657,0.2741388994035644,0.5516902133378969
martin zubimendi,La Liga,real sociedad,Midfielder,Final-Third Playmaker,2654.0,0.1356443104747551,4.0,0.5086661642803316,15.0,0.0339110776186887,1.0,55.21739130434783,70.58823529411767,0.5764883195177091,51.74830444611906,85.7,1.6955538809344388,50.0,1.2886209495101737,38.0,0.8297776642596286,0.5808889207048167,0.0354594806317479,0.0998443968025481,0.597899333075915,0.5526440181353482,0.4990074165699607
martín payero,Serie A,udinese,Midfielder,Deep-lying Playmaker,1800.0,0.1,2.0,1.35,27.0,0.1,2.0,47.19101123595506,42.85714285714287,0.7,25.8,0.0,2.7,54.0,0.7,14.0,0.0763626990720751,0.0369978127013072,0.6265107325961057,0.2908698590551841,0.240716601539448,0.4500471017719125,0.3849434052316573
mateusz łęgowski,Serie A,salernitana,Midfielder,Deep-lying Playmaker,1132.0,0.0,0.0,0.3975265017667844,5.0,0.0,0.0,40.0,33.333333333333336,0.5565371024734982,29.33745583038869,0.0,1.8286219081272084,23.0,0.5565371024734982,7.0,0.3844514615104109,0.8714592051333414,0.3589510564257268,0.850270417007975,0.465437163791026,0.28372085375238,0.4308353479090248
matheus henrique,Serie A,sassuolo,Midfielder,Deep-lying Playmaker,2503.0,0.0719137035557331,2.0,0.4674390731122652,13.0,0.0719137035557331,2.0,55.50000000000001,57.57575757575758,1.2944466640031962,34.338793447862564,81.7,1.474230922892529,41.0,0.8270075908909308,23.0,0.3505008131901608,0.730828766705122,0.4264810115832758,0.4860380290493334,0.4452531134841763,0.2216746439223044,0.4467827068246485
mathias pereira lage,Ligue 1,brest,Midfielder,Positional Anchor,1181.0,0.2286198137171888,3.0,2.286198137171888,30.0,0.1524132091447925,2.0,44.021739130434774,33.33333333333333,1.0668924640135478,24.995766299745977,67.3,1.600338696020322,21.0,0.7620660457239627,10.0,0.3956964299444409,0.185840625712181,0.4978146330960832,0.4681773684849053,0.4584273309559312,0.2900121217425571,0.5947101777550889
matteo pessina,Serie A,monza,Midfielder,Deep-lying Playmaker,3228.0,0.1672862453531598,6.0,0.5297397769516728,19.0,0.0836431226765799,3.0,53.17460317460318,48.27586206896551,0.7527881040892193,59.27509293680298,88.3,1.2267657992565055,44.0,0.7527881040892193,27.0,0.1780241732384707,0.6993966036163962,0.5296620664404487,0.4889656709054341,0.3679274575996011,0.3810331324387902,0.4474421595542509
matteo prati,Serie A,cagliari,Midfielder,Deep-lying Playmaker,1970.0,0.0456852791878172,1.0,1.0964467005076142,24.0,0.0456852791878172,1.0,51.61290322580645,44.44444444444444,0.6395939086294417,33.30456852791878,74.2,2.0558375634517767,45.0,0.6852791878172589,15.0,0.2742089524016394,0.7979705632573056,0.6146894150588245,0.4316610001005828,0.5326892960657331,0.4530998156399765,0.2886613208712953
mattia zaccagni,Serie A,lazio,Midfielder,Deep-lying Playmaker,1972.0,0.2738336713995943,6.0,1.1866125760649089,26.0,0.0456389452332657,1.0,57.38255033557046,58.69565217391305,1.3235294117647058,36.73935091277891,79.1,1.2322515212981744,27.0,0.95841784989858,21.0,0.1907704841974475,0.7475458939123927,0.5424502124226963,0.2548118195672905,0.4071494568426275,0.5346250106391921,0.304727200643556
mattéo guendouzi,Serie A,lazio,Midfielder,Deep-lying Playmaker,2371.0,0.0759173344580345,2.0,0.6832560101223112,18.0,0.1138760016870518,3.0,45.549738219895296,34.99999999999999,0.8730493462673977,40.04639392661324,0.0,1.290594685786588,34.0,0.7971320118093632,21.0,0.3825865796800393,0.1259286868007493,0.4245355196697701,0.6224102763943004,0.3848738218382847,0.5232682062157267,0.2708931062876957
matías vecino,Serie A,lazio,Midfielder,Deep-lying Playmaker,1135.0,0.4757709251101321,6.0,2.140969162995595,27.0,0.079295154185022,1.0,49.70059880239523,71.42857142857144,0.5550660792951542,58.28193832599119,0.0,2.537444933920705,32.0,0.9515418502202644,12.0,0.2139169375777843,0.6142014577615251,0.2308202056909787,0.6275501386825114,0.2575522109100219,0.4761923770696248,0.2777002125405278
maxence caqueret,Ligue 1,lyon,Midfielder,Positional Anchor,3025.0,0.0297520661157024,1.0,0.4462809917355372,15.0,0.1190082644628099,4.0,49.72677595628415,65.0,1.725619834710744,56.707438016528926,82.7,2.7074380165289256,91.0,1.428099173553719,48.0,0.5380284917717433,0.7441905887931212,0.4320327312909467,0.240034176517173,0.3635454455632662,0.4096106665439578,0.4083501446858355
maxime gonalons,Ligue 1,clermont foot,Midfielder,Deep-lying Playmaker,1308.0,0.0688073394495412,1.0,0.756880733944954,11.0,0.0,0.0,49.14285714285714,53.333333333333336,0.481651376146789,52.91284403669725,86.3,3.23394495412844,47.0,1.3761467889908257,20.0,0.2829190452277778,0.1187746380051738,0.3051829724698542,0.7872145243769465,0.5602970018308928,0.3839291254149571,0.5023501489252028
maxime lopez,Serie A,fiorentina,Midfielder,Deep-lying Playmaker,792.0,0.0,0.0,0.4545454545454546,4.0,0.0,0.0,55.999999999999986,50.0,0.9090909090909092,74.54545454545455,88.4,2.0454545454545454,18.0,0.7954545454545454,7.0,0.2248448811783414,0.6992637956522834,0.1219593014123752,0.8171878452289414,0.4984645377966739,0.525127215552381,0.4273638618812705
michel aebischer,Serie A,bologna,Midfielder,Deep-lying Playmaker,2233.0,0.0,0.0,0.483654276757725,12.0,0.0403045230631437,1.0,47.61904761904762,60.8695652173913,0.6851768920734438,59.44917151813704,91.2,1.4106583072100312,35.0,0.483654276757725,12.0,0.3089513073210507,0.637855859485382,0.2398791297039473,0.4238535665107419,0.3557320378232176,0.3832838343538724,0.2903412636706469
mikel merino,La Liga,real sociedad,Midfielder,Final-Third Playmaker,2484.0,0.181159420289855,5.0,0.9057971014492752,25.0,0.108695652173913,3.0,56.37931034482758,64.86486486486487,0.7246376811594202,49.96376811594203,76.2,2.8260869565217392,78.0,0.5797101449275363,16.0,0.5313195047126714,0.696024142055783,0.4781262940709562,0.3335427459292693,0.630094992014432,0.4759624191925446,0.3834613913667936
mikel vesga,La Liga,athletic club,Midfielder,Final-Third Playmaker,1536.0,0.17578125,3.0,0.87890625,15.0,0.05859375,1.0,41.7989417989418,16.666666666666664,0.41015625,47.63671875,77.1,2.34375,40.0,1.81640625,31.0,0.7321299510120945,0.7623985063696979,0.2945359065258144,0.63824251640708,0.317502205029497,0.36490810035607,0.1944181026697648
milan badelj,Serie A,genoa,Midfielder,Deep-lying Playmaker,2555.0,0.035225048923679,1.0,0.5636007827788649,16.0,0.1056751467710371,3.0,47.23618090452263,56.666666666666664,0.6340508806262232,48.6105675146771,80.7,1.796477495107632,51.0,1.726027397260274,49.0,0.4419616903542906,0.7331679273815437,0.6842628136994875,0.4592042999705968,0.5776180126223305,0.3185821398624459,0.1672297945042291
mohamed camara,Ligue 1,monaco,Midfielder,Deep-lying Playmaker,1042.0,0.0863723608445297,1.0,0.8637236084452974,10.0,0.1727447216890595,2.0,51.03448275862068,47.36842105263158,1.2092130518234163,66.16122840690979,91.9,3.023032629558541,35.0,0.9500959692898272,11.0,0.0984540407020198,0.4750425948429095,0.40587784840466,0.7050673178562308,0.4910644152919735,0.4234302307975477,0.4069206426695106
mohamed camara,Ligue 1,monaco,Midfielder,Positional Anchor,1042.0,0.0863723608445297,1.0,0.8637236084452974,10.0,0.1727447216890595,2.0,51.03448275862068,47.36842105263158,1.2092130518234163,66.16122840690979,91.9,3.023032629558541,35.0,0.9500959692898272,11.0,0.2487876093682609,0.2663509119927726,0.4867792998266471,0.496922032354721,0.6932950901911513,0.4606599824550801,0.2933624596270416
mohamed camara,Ligue 1,brest,Midfielder,Deep-lying Playmaker,2039.0,0.3089749877390877,7.0,1.280039234919078,29.0,0.1324178518881804,3.0,51.07913669064747,44.73684210526315,1.4124570868072586,35.39970573810692,0.0,2.427660617949976,55.0,1.1917606669936245,27.0,0.0984540407020198,0.4750425948429095,0.40587784840466,0.7050673178562308,0.4910644152919735,0.4234302307975477,0.4069206426695106
mohamed camara,Ligue 1,brest,Midfielder,Positional Anchor,2039.0,0.3089749877390877,7.0,1.280039234919078,29.0,0.1324178518881804,3.0,51.07913669064747,44.73684210526315,1.4124570868072586,35.39970573810692,0.0,2.427660617949976,55.0,1.1917606669936245,27.0,0.2487876093682609,0.2663509119927726,0.4867792998266471,0.496922032354721,0.6932950901911513,0.4606599824550801,0.2933624596270416
mohamed kaba,Serie A,lecce,Midfielder,Deep-lying Playmaker,1383.0,0.0,0.0,0.8459869848156182,13.0,0.0,0.0,52.197802197802204,63.63636363636363,0.8459869848156182,27.72234273318872,79.7,2.5379609544468544,39.0,0.7809110629067245,12.0,0.2305254567632574,0.8055635206920917,0.6578116686993141,0.4621124649735269,0.3148594162598748,0.4454892396945635,0.3819303554156585
moi gomez,La Liga,osasuna,Midfielder,Final-Third Playmaker,2011.0,0.1342615614122327,3.0,0.5370462456489309,12.0,0.0,0.0,51.13636363636363,60.71428571428573,1.0740924912978618,49.6767777225261,81.0,1.342615614122327,30.0,0.4922923918448533,11.0,0.630623850982347,0.6242277931550235,0.2579065477828688,0.248772190090408,0.5550004101504908,0.443285428543635,0.7094212698045669
morgan sanson,Ligue 1,nice,Midfielder,Positional Anchor,1976.0,0.0910931174089068,2.0,1.3208502024291495,29.0,0.1366396761133603,3.0,42.53393665158371,54.16666666666665,1.958502024291498,32.520242914979754,75.4,1.1842105263157894,26.0,0.9109311740890688,20.0,0.3093856682709882,0.2992068915808844,0.3828031106408961,0.5437242508452029,0.4791456174746531,0.4095553221674528,0.3880478764444234
morten frendrup,Serie A,genoa,Midfielder,Deep-lying Playmaker,3149.0,0.0571610034931724,2.0,0.5430295331851381,19.0,0.1429025087329311,5.0,61.78160919540231,66.66666666666666,0.4001270244522071,33.95363607494443,80.0,3.801206732295967,133.0,1.4290250873293109,50.0,0.2787251016908635,0.7565780401033867,0.1989421174589723,0.6448982178117302,0.2574609914001863,0.3895742431026628,0.3107826702726203
