name,league,team_clean,position,Role_Label,Minutes Played,Goals,Goals_p90,Duels won %,Shots,Shots_p90,Assists,Assists_p90,Dribbles successful %,Dribbles successful %,Dribbles successful %_p90,Key Passes,Passes total p90,passes_accuracy_perc,passes_accuracy_perc,PC1,PC2,PC3,PC4,PC5,PC6,PC7
g. lapadula,serie a,cagliari,Attacker,Off-Ball Disruptor,1205.0,3.0,0.2240663900414937,37.93,27.0,2.016597510373444,1.0,0.0746887966804979,57.14,57.14,57.14,1.4190871369294604,12.17427385892116,70.2,70.2,-1.1069862866542133,-0.0799158052312958,-0.8244294581690349,0.0650594858971894,1.4858278515677543,-0.7614543429464496,-0.9213624687320724
k. kvaratskhelia,serie a,napoli,Attacker,Creative Technician,2752.0,11.0,0.3597383720930233,51.78,78.0,2.550872093023256,5.0,0.1635174418604651,51.79,51.79,51.79,1.8968023255813955,33.58648255813954,80.4,80.4,2.394696562344974,0.6410091529689453,-0.0084454926565917,1.0825523844931375,-0.7815024257970637,-0.3381036695433234,-0.4125121050360513
a. belotti,serie a,fiorentina,Attacker,Disruptive Presser,952.0,3.0,0.2836134453781512,46.67,18.0,1.7016806722689075,0.0,0.0,25.0,25.0,25.0,0.4726890756302521,18.623949579831933,66.2,66.2,-2.539064243627449,-0.0454065223541494,-0.013692539309678,0.1630141974362834,-1.898539887095232,0.4447872415592562,0.3273299088924791
a. sanabria,serie a,torino,Attacker,Off-Ball Disruptor,2134.0,5.0,0.2108716026241799,47.39,45.0,1.8978444236176195,0.0,0.0,45.16,45.16,45.16,0.6326148078725399,25.97938144329897,79.2,79.2,-0.5901741066072559,-0.3024852081444202,0.3403207001504172,2.0536566714929965,-0.6658039160550273,0.0560898116507322,-0.1816605029455152
p. almqvist,serie a,lecce,Attacker,Off-Ball Disruptor,2114.0,2.0,0.0851466414380321,45.02,24.0,1.021759697256386,1.0,0.042573320719016,46.25,46.25,46.25,1.1494796594134342,19.328287606433303,73.4,73.4,-0.9933547700479768,-1.7642034417699657,-0.0427244482482102,0.6905952748323707,0.0328734534043435,0.0551878740138409,0.0638953295676213
zito luvumbo,serie a,cagliari,Attacker,Disruptive Presser,1944.0,4.0,0.1851851851851852,41.83,32.0,1.4814814814814816,5.0,0.2314814814814814,42.86,42.86,42.86,1.2037037037037035,13.47222222222222,63.4,63.4,-1.2038242590069392,-0.7122082221831711,-1.0046806879640964,-1.4331797329385203,0.3412503226326497,0.7939351898961147,-0.4196488617529066
pedro,serie a,lazio,Attacker,Creative Technician,795.0,1.0,0.1132075471698113,45.54,9.0,1.018867924528302,1.0,0.1132075471698113,50.0,50.0,50.0,1.924528301886792,46.41509433962264,82.8,82.8,2.480688974352608,-2.031779352449005,1.9654490785681549,1.0130204194879933,-0.4668134893409228,-0.7166562272706251,0.559566639465348
t. noslin,serie a,verona,Attacker,Pure Finisher,1347.0,5.0,0.3340757238307349,38.81,30.0,2.0044543429844097,4.0,0.2672605790645879,33.33,33.33,33.33,1.804008908685969,21.514476614699333,69.5,69.5,-0.0242582635793669,0.4801352261503755,0.6081362359997982,-1.843256906604583,-0.1404515231741748,0.5088056320085012,-0.5906288371307217
g. isaksen,serie a,lazio,Attacker,Off-Ball Disruptor,1070.0,3.0,0.2523364485981308,39.67,19.0,1.5981308411214954,1.0,0.0841121495327102,39.47,39.47,39.47,1.5981308411214954,24.308411214953274,66.5,66.5,-0.7471130405617631,-0.5031338006848443,0.3482431685052961,-0.9083455045252437,-0.2991811975957979,-0.7436596151053235,0.0475345064844708
a. lookman,serie a,atalanta,Attacker,Creative Technician,1900.0,11.0,0.5210526315789474,44.49,49.0,2.321052631578948,7.0,0.331578947368421,52.0,52.0,52.0,2.3684210526315788,35.47894736842105,75.8,75.8,3.0429898308712886,1.04541809423728,0.3428658968693252,-0.9311843907296324,0.2480530378507106,-0.1114644654953112,0.0329266094008391
g. scamacca,serie a,atalanta,Attacker,Pure Finisher,1457.0,12.0,0.7412491420727523,38.35,52.0,3.212079615648593,6.0,0.3706245710363761,57.69,57.69,57.69,2.0384351407000687,26.12903225806452,67.5,67.5,1.943557643693156,3.017880327277411,-0.8771690728336317,-1.8003717948082103,1.3047181655758773,-0.3361915625972148,-0.4294451798116596
a. saelemaekers,serie a,bologna,Attacker,Creative Technician,1891.0,4.0,0.1903754627181385,54.09,23.0,1.0946589106292968,2.0,0.0951877313590692,40.82,40.82,40.82,2.0465362242199894,42.83447911158117,78.0,78.0,2.258112187521557,-1.760639747991252,1.080985746915441,0.7208007731927512,-1.9505631631619205,-0.4538314106740244,1.0124910857282696
s. chukwueze,serie a,milan,Attacker,Creative Technician,1015.0,1.0,0.0886699507389162,42.86,18.0,1.5960591133004929,3.0,0.2660098522167488,38.18,38.18,38.18,1.7733990147783252,34.84729064039409,78.4,78.4,1.528882137622219,-1.0724577739069583,1.5185135715393552,-0.50211681339493,-0.5476790271013542,0.615711188795047,-0.6991139041172004
rafael leão,serie a,milan,Attacker,Creative Technician,2521.0,9.0,0.3213010710035699,53.48,47.0,1.6779055930186433,9.0,0.3213010710035699,55.8,55.8,55.8,2.106307021023404,31.880206267354225,73.6,73.6,2.862910931158907,-0.5692429866691869,-0.9043798897071776,-0.3372750878493478,-0.270465087715374,0.521482935766817,0.2871262351932936
n. okafor,serie a,milan,Attacker,Pure Finisher,870.0,6.0,0.6206896551724138,37.11,21.0,2.1724137931034484,2.0,0.2068965517241379,45.16,45.16,45.16,0.8275862068965517,17.17241379310345,62.2,62.2,-1.346955778284692,1.7043667158655158,-0.8233433549884605,-1.333422448073709,0.7859953196641465,0.2972944472773703,0.4509379691070032
a. guðmundsson,serie a,genoa,Attacker,Off-Ball Disruptor,3024.0,14.0,0.4166666666666666,40.5,42.0,1.25,4.0,0.119047619047619,50.0,50.0,50.0,2.470238095238095,30.23809523809524,74.8,74.8,1.3281548596041062,-0.5455903166567292,0.9461475077619234,-0.5904824749638967,0.606577626644455,-1.171488704101696,0.8809999119221874
m'bala nzola,serie a,fiorentina,Attacker,Off-Ball Disruptor,1544.0,3.0,0.1748704663212435,35.42,23.0,1.3406735751295336,3.0,0.1748704663212435,48.28,48.28,48.28,1.2240932642487046,19.58549222797928,82.0,82.0,-0.3513859670597973,-0.76871120497606,1.26051873821029,0.3837695393037794,1.6053757584753725,0.6926769043358599,-0.6443111669785409
r. sottil,serie a,fiorentina,Attacker,Creative Technician,1107.0,2.0,0.1626016260162601,55.81,24.0,1.951219512195122,3.0,0.2439024390243902,52.5,52.5,52.5,1.056910569105691,30.406504065040654,78.6,78.6,1.7702546590984007,-0.6442220606689468,-0.7825702531668983,1.3389075996281112,-0.841589266793518,1.2219375366022802,-0.425473538468158
j. ikoné,serie a,fiorentina,Attacker,Off-Ball Disruptor,1685.0,3.0,0.1602373887240356,45.62,32.0,1.7091988130563798,1.0,0.0534124629080118,51.22,51.22,51.22,0.8011869436201781,24.409495548961427,81.5,81.5,-0.1852958641809208,-0.6886631514596567,0.3393491566510714,1.9666853545138048,0.177792471974995,0.2529272850294236,-0.39810259410114
lautaro martínez,serie a,inter,Attacker,Pure Finisher,2668.0,24.0,0.8095952023988006,45.92,77.0,2.597451274362818,3.0,0.10119940029985,33.33,33.33,33.33,1.1131934032983508,24.82758620689655,77.2,77.2,-0.0748579282231327,2.7984627755007927,0.6560258437304274,0.5370821651680527,-0.9552733556729645,0.3386644074799191,0.9192756361201077
a. milik,serie a,juventus,Attacker,Pure Finisher,900.0,4.0,0.4,47.41,27.0,2.7,1.0,0.1,50.0,50.0,50.0,1.5,26.4,79.6,79.6,0.9777001607973124,1.165962088568521,-0.0013177983636573,1.2403226552717008,-0.315652321430346,-0.3872415244441324,-0.6130025015672533
