Player Name,League,Club,Position,Tactical Role,Minutes Played,Goals per 90,Shots,Assists per 90,Dribble Success %,Total Pass Accuracy %,Tackles Success %,Dribblers Tackled,Blocks per 90,Shots Blocked per 90,Passes Blocked per 90,Clearances per 90,Errors per 90,Aggressive High Block Engagement,Transition Ability (Interceptions-Passing),Area Clearance & Box Protection,Build-up Ability,1v1 Ability,Compactness & Shot Blocks,Overall Defensive Workload Index,Vertical Passing / Line-Breaking,Low-Tempo Defensive Coverage,Mid-Third Engagements,Long Passing Ability - Pressured Duel Success,Errors Under Pressure,Area Variety in Tackling,Structured Passing in Tactical Mid-Blocks,Defensive Stress Indicators & Rescue Actions,Passing Reliability Across Areas,Defensive Energy & Effort Radar
F. Fazio,Serie A,Salernitana,Defender,Positional Defender,1355.0,0.066420664206642,6.0,0.0,1.0,0.7638888888888888,0.7857142857142857,8.0,1.4612546125461254,1.2619926199261993,0.1992619926199262,6.575645756457564,0.066420664206642,0.1113212004632657,0.5084916166944806,0.7990270751399149,0.5776112803653536,0.8275988038366342,0.4541280425521454,0.5759939954723784,0.3110759139406894,0.457629778286368,0.8022367875334073,0.4124460523177071,0.4640948810074436,0.5623809322838776,0.3855612017737236,0.1982867175577206,0.5792505776613247,0.7899962338745811
Mário Rui,Serie A,Napoli,Defender,Ball-Winning Full-Back,1207.0,0.0,5.0,0.1491300745650372,0.4285714285714285,1.026252983293556,0.8823529411764705,14.0,1.267605633802817,0.1491300745650372,1.1184755592377795,1.4167357083678542,0.0,0.5884413637132476,0.3962601735615738,0.4088154304755261,0.4048792570799592,0.4541083461849987,0.6018354337440684,0.1019799831286952,0.3069638869655672,0.6710898814003265,0.4426190773784038,0.5689542697385558,0.1192564723284919,0.6787074419416532,0.5463909887943594,0.1220944275389034,0.8254438500551273,0.8558726442749972
D. D'Ambrosio,Serie A,Monza,Defender,Defensive Anchor / Stopper,1533.0,0.0,10.0,0.0,0.5833333333333334,0.9235849056603774,1.0,28.0,1.2915851272015657,0.7632093933463796,0.5283757338551859,1.819960861056752,0.0,0.5923379435754641,0.684357886098399,0.1345631504622141,0.0,0.7116641118484031,0.4588017661406085,0.2180373168414698,0.1561501316181348,0.4131963413717922,0.4896031037131528,0.354730359315151,0.5114697471631284,0.275747606865258,0.6701578571174786,0.1035068028144118,0.7264459343026898,0.8377914346300825
Pedro Pereira,Serie A,Monza,Defender,Ball-Winning Full-Back,834.0,0.0,1.0,0.2158273381294964,0.5555555555555556,0.9830508474576272,0.9285714285714286,9.0,1.618705035971223,0.2158273381294964,1.4028776978417266,1.942446043165468,0.0,0.6350980817505536,0.3209745175461018,0.6689843125117829,0.1791872696351171,0.5170542816133699,0.6934195022459486,0.1635698215722519,0.3088429389313816,0.6444454253642676,0.0,0.1582589743213717,0.240093785573956,0.7000282613087733,0.540957210941917,0.1137058869528666,0.5333743138588882,0.8653549485250056
A. Florenzi,Serie A,AC Milan,Defender,Ball-Winning Full-Back,1729.0,0.0520532099479467,26.0,0.2082128397917871,0.0833333333333333,1.007640878701051,0.8076923076923078,26.0,0.8328513591671486,0.4684788895315211,0.3643724696356275,1.3013302486986698,0.0520532099479467,0.5217262758025547,0.3662560929713643,0.1347917087891765,0.3855517776017994,0.4596762747157705,0.3578436315151353,0.1680177882595832,0.314162425172242,0.3381902030774792,0.3227837077973582,0.2840952831346215,0.1734641333628156,0.4315017785530464,0.5244215216588676,0.1468422839694738,0.7986189253883699,0.8206504179710197
D. Calabria,Serie A,AC Milan,Defender,Defensive Anchor / Stopper,2195.0,0.041002277904328,16.0,0.123006833712984,0.3,1.0161662817551962,1.0,44.0,1.0660592255125283,0.2870159453302961,0.7790432801822322,2.009111617312073,0.041002277904328,0.6720615536368604,0.5002965606688596,0.1864172917370639,0.3016755079965123,0.5270119375939272,0.4886666624098161,0.2610157485448794,0.2561665390394325,0.3121845040523379,0.3392648224367718,0.4184442093751192,0.3794124766098367,0.6166046477711709,0.6588012401213148,0.1304705309931964,0.7113798685242708,0.8461586544680806
R. Tolói,Serie A,Atalanta,Defender,Ball-Winning Full-Back,961.0,0.0,3.0,0.0,0.5,0.8649706457925637,1.2857142857142858,14.0,0.8428720083246618,0.3746097814776275,0.4682622268470343,2.7159209157127995,0.0,0.4928523698497712,0.366735611574293,0.2671544796653298,0.5830289474517959,0.4944992566464677,0.5187472350333612,0.0493592562202056,0.1351467201527698,0.2204262170280739,1.0,0.4271882737050668,0.2208017346871553,0.8084434914855104,0.7001324491066476,0.1878744219853354,0.7456569585390118,0.7890829877435005
P. Hatzidiakos,Serie A,Cagliari,Defender,Positional Defender,867.0,0.0,3.0,0.0,0.3333333333333333,0.8746666666666666,0.8333333333333335,10.0,1.4532871972318335,0.5190311418685122,0.9342560553633218,3.114186851211073,0.1038062283737024,0.4530580590560194,0.5768121531501358,0.3497193149826524,0.3894847629686969,0.4285628929235415,0.5551031863582135,0.0533847353301584,0.1262968618428254,0.437503294983174,0.3969564986880525,0.2749103027585761,0.6673677996594067,0.6274999083328103,0.1692028842728358,0.0912236017792947,0.3826825447958382,0.887102083559366
F. Ebosele,Serie A,Udinese,Defender,Ball-Winning Full-Back,1704.0,0.0,12.0,0.0,0.5697674418604651,0.8825396825396825,0.8695652173913042,21.0,1.742957746478873,0.1056338028169014,1.6373239436619718,1.426056338028169,0.0,0.6710222236164176,0.305448773967791,1.0,0.5115451248795572,0.6279793349939784,0.7919154098972563,0.2504861236026383,0.2063217407678658,0.6205118082067731,0.1404938096424577,0.840841108376762,0.6295874130340057,0.4364188392587081,0.4963773947811767,0.1077089233020368,0.3979485959319958,0.8688510421817546
N. Pérez,Serie A,Udinese,Defender,Positional Defender,3240.0,0.0,13.0,0.0,0.5714285714285714,0.863667348329925,1.142857142857143,39.0,1.4722222222222223,0.7222222222222223,0.75,4.388888888888888,0.0277777777777777,0.3771378120336147,0.5870580262326756,0.5266203570071696,0.4302517656499011,0.722387379426495,0.6606280389624769,0.329611589753211,0.2435433678177834,0.5933936017732866,0.6479251731770712,0.3439015014802742,0.558903556537168,0.6362042146972198,0.5463140534856987,0.1214053532701417,0.5565593722031705,0.860663890734685
