name,team_clean,league,position,minutes,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,goals_p90,shots_total_p90,assists_p90,passes_key_p90,passes_total_p90,passes_accuracy_perc,dribbles_success_perc,duels_win_perc,Cluster,Role_Label
J. Ito,reims,Ligue 1,Attacker,2722.0,1.7775677440520408,-2.152145160553185,-0.5720707444144606,-1.6183092202959648,0.1144473967963703,-0.8279728623844317,0.1750232357702388,-0.4600538653496709,-1.1469638888938418,-1.3580711920735975,0.8428037992898191,2.335709704512217,0.7065097989791359,-1.0117284635275532,0.7902120532801792,0.4534955824774581,2,Creative Technician
Keito Nakamura,reims,Ligue 1,Attacker,1389.0,-0.365046388322632,-0.16417299662617,-0.4546033043643314,1.0642707679711678,0.9177304213440416,-0.6055837135755734,-0.2675820251237907,0.5728197180827188,-0.3241882145764928,0.1981493785518096,-0.7345518614808089,-0.6918726148543447,-0.0960159468494965,0.1463312358612285,1.3336909025039332,-0.3691243113188627,0,Off-Ball Disruptor
O. Diakité,reims,Ligue 1,Attacker,1589.0,-1.5322883534600815,0.0624378352045762,0.9751663057283688,0.7480098048901668,0.8192843724256419,0.2445456453932983,-0.3891195697757985,-0.4758234727596771,-0.2006711203618044,-0.2162203969103368,-0.8117423466055653,-0.7921015122209452,-1.0747245830394274,0.9801342194211524,-0.377261030237515,-1.157468376207002,3,Disruptive Presser
A. Lacazette,lyon,Ligue 1,Attacker,2306.0,-0.642855167951307,1.9893347452309649,-0.625452387772854,0.5995092562583355,1.144700514213103,-0.4769684170534445,1.0510493860650882,0.323058562864646,2.1564919426670044,0.6737005997921277,-0.6090239313692556,-0.8443440837020956,-0.4977785622877279,-0.1933662759594812,1.0317582084907355,-0.574779284767942,1,Pure Finisher
M. Simon,nantes,Ligue 1,Attacker,1794.0,0.0239613363658796,-1.2946829112240636,-1.6765707109368362,-1.1454764716556014,0.5783599678167581,0.3288676344237866,-0.1527272611877357,0.0600913797330584,-0.8830898978764024,-0.7999610463884521,1.0263160652932704,0.2622623520006771,-0.7912069540113058,-1.4595115472912152,0.9210495540192316,0.3506680957529178,0,Off-Ball Disruptor
G. Kyei,clermont foot,Ligue 1,Attacker,1017.0,-1.3063764608308406,0.0655087991871114,1.4654424107680528,-0.1460825884662875,-0.259341785679709,0.0252316758429189,-0.985958843292467,0.0343286836794693,-0.7468611363531653,0.3532082190470311,-0.5102258374831464,-0.4221762102634082,-0.241405148843612,0.4088247677226861,-1.39376776674861,-1.2774337773856324,3,Disruptive Presser
Mousa Tamari,montpellier,Ligue 1,Attacker,1943.0,-0.527754637693385,-0.5525267298366019,-0.1888619975708028,0.678379060068452,-0.7733540603056428,0.4226564445224199,0.105333420573618,-0.0935775613331052,-0.4660183042709897,-0.3482861010159092,-0.4709968086738001,-0.6582953842078598,-0.167756435404392,0.1000088478856777,-0.4275831459063812,0.8133917860133484,0,Off-Ball Disruptor
A. Kalimuendo,rennes,Ligue 1,Attacker,2152.0,-1.1290703523436192,0.5598774875521949,1.7105818454771122,0.5913965577570778,0.9313679136784896,-0.157781566449507,0.0243182526575075,-0.6594130390650332,0.4936959476819433,-0.1899653926452453,-0.9519921135687524,-0.2321986169344913,-0.6201933587993774,1.3352725272337116,-0.5684850697792062,-1.5687783231051615,3,Disruptive Presser
M. Guilavogui,lens,Ligue 1,Attacker,554.0,1.711534772550405,1.184111663335438,0.0584759494528979,0.8829235026835793,-1.303601411328384,-2.344245339336606,-1.0347240366282804,-0.2642532905672731,0.0138472136455213,2.4087747326481863,-1.3478302657969994,1.6898686578591844,1.4180335285906347,0.4242655637145357,0.3876351279292501,0.7962538715592582,2,Creative Technician
M. Satriano,brest,Ligue 1,Attacker,1870.0,0.1007668628722479,0.0613603513443142,-1.119174678244866,0.4025670140032252,-0.6862925081817461,0.7328616802909004,-0.9027485482345426,-0.0030762235251629,-0.6670342484129925,0.818555772131957,0.4742953033905702,-0.511456990918078,-0.5068402968122289,-0.116162296000229,0.055509164514734,1.1732879895492387,0,Off-Ball Disruptor
F. Magri,toulouse,Ligue 1,Attacker,1433.0,-1.3556546323364176,0.2790590430036868,0.1412050862531083,-0.3320803672071638,0.0408390803688097,0.3014756367906037,-0.2385962176092558,0.1158173037802366,-0.042122513826691,0.0970639730346725,-0.1589346571505391,-0.7403930132177001,-0.7321018787821953,-0.4095374198453858,-0.6791937242507118,-0.6776067714924823,3,Disruptive Presser
A. Gouiri,rennes,Ligue 1,Attacker,2075.0,0.9466039070194256,0.5994260113694019,0.6188064553080221,1.647306593858278,0.2046957586007619,0.0044441845444653,-0.6290491000618995,0.8784575592485346,-0.0956691342219936,1.0196840874862716,-0.1162490075870881,-0.6853994197583441,1.1025300441596448,1.5051212831440652,0.739889937611313,0.025047721125208,1,Pure Finisher
R. Kolo Muani,paris sg,Ligue 1,Attacker,1264.0,0.9730578273738414,-0.1818823514327197,0.591455974732271,-1.8220763544713408,0.6596613494517806,1.1730659326433297,0.5478647833424469,-0.3718233235722068,0.5399785188297358,-1.0439668044526975,2.0218046376649816,0.952821849844475,0.0184300768268351,0.0073640719345738,-0.498034107842794,-0.5233655414056713,0,Off-Ball Disruptor
Gonçalo Ramos,paris sg,Ligue 1,Attacker,1419.0,0.1446236409773218,1.823336037635305,-0.218655189205001,1.291422095883007,-0.978196781214786,0.2166578819340361,1.1203120066043166,-0.5354654684428672,1.930882691878184,0.7730607226014119,-0.7475175782739635,-0.5043078567073099,0.0202503206546308,0.7021998915678429,-0.4074542996388344,1.3446671340901388,1,Pure Finisher
T. Moffi,nice,Ligue 1,Attacker,1960.0,-1.0663879007089485,0.9548087237531891,-0.3556956299234673,0.1462646383361791,2.075548443068761,-0.649389358212209,0.1508501099488884,0.1538325834959125,0.9405311141702682,0.2500514127665273,-0.4786019968223173,-0.5123124995574001,-1.0715552566748798,-0.1933662759594812,1.3336909025039332,-1.603054152013342,1,Pure Finisher
E. Guessand,nice,Ligue 1,Attacker,1542.0,-1.537136300419224,0.7126592763193723,-0.0544727893251102,0.9952471093587868,-0.4443214372963552,-0.1280470558669675,-0.32686971618055,-0.7125565042019861,0.1438806433920839,0.6622980776948474,-1.3478302657969994,-0.7469915017502425,-1.1659014597126447,0.3161799917715823,-0.6188071854480723,0.1278752078497483,3,Disruptive Presser
