name,team_clean,league,position,Cluster,Role_Label,minutes,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8
f. caputo,empoli,serie a,attacker,0,Off-Ball Disruptor,0.2827965435978005,0.20777289337536753,0.2556808448353844,0.45692584326319435,0.900751337079027,0.7431444981873915,0.5949641885913425,0.6307857564918538,0.2963238698107795
i. success,udinese,serie a,attacker,0,Off-Ball Disruptor,0.12411626080125684,0.33478554689690926,0.2185560600186462,0.2017049777435574,0.651608242878685,0.5622570684656657,0.47834899919687957,0.5239399560536976,0.6531871232002348
dany mota,monza,serie a,attacker,0,Off-Ball Disruptor,0.5903377847604085,0.4188389025837143,0.22996466342661212,0.7526908790773331,0.5810715269746898,0.4083359555106897,0.611211388444603,0.6519342513942304,0.5670610249429229
a. petagna,cagliari,serie a,attacker,0,Off-Ball Disruptor,0.17478397486252947,0.461740697040719,0.12178912128332875,0.22390367350469143,0.7957779209518155,0.7994921551576019,0.37749909269151516,0.608647181693635,0.364336353887171
g. oristanio,cagliari,serie a,attacker,0,Off-Ball Disruptor,0.21484681853888452,0.2861522262251855,0.24030809577768356,0.32672453425394965,0.6568980712163071,0.7168796032502156,0.47385194311717926,0.5438897553062088,0.4168816467317215
p. almqvist,lecce,serie a,attacker,0,Off-Ball Disruptor,0.612725844461901,0.2740584761502073,0.1516110087098816,0.49782943629464127,0.7540252568609094,0.5281345017467943,0.6309594342341699,0.6260526698893706,0.21280886718157266
a. sanabria,torino,serie a,attacker,0,Off-Ball Disruptor,0.6205813040062844,0.3205896095265739,0.3339175402605062,0.562496882877558,1.0,0.4009151797627808,0.6311966094378476,0.5588610415683034,0.5537041301438036
j. ikoné,fiorentina,serie a,attacker,0,Off-Ball Disruptor,0.4442262372348783,0.3673166607168616,0.2857531541376538,0.5623328624282465,0.9843053677502456,0.5545222167223243,0.6829573586631537,0.49963582833218423,0.47912848505332906
m'bala nzola,fiorentina,serie a,attacker,0,Off-Ball Disruptor,0.3888452474469757,0.3481481801067101,0.2757695043081254,0.717848954874079,0.6986562311735811,0.8144650540362341,0.7985947389654975,0.4322655901711596,0.2878484769917504
a. guðmundsson,genoa,serie a,attacker,0,Off-Ball Disruptor,0.9701492537313434,0.5419842077316848,0.3035972992485364,0.6647753554897344,0.5228450831582881,0.6325979624646961,0.3083902727298429,0.8496376152564152,0.12746408255530384
k. gameiro,strasbourg,ligue 1,attacker,0,Off-Ball Disruptor,0.3106834249803614,0.48912669244155466,0.29532587596054416,0.725533373001876,0.7316531207595866,0.8403860542660172,0.451812167160884,0.5814063864631567,0.6110054395913274
keito nakamura,reims,ligue 1,attacker,0,Off-Ball Disruptor,0.32796543597800476,0.3465716290927457,0.35116793706950433,0.42829415034238727,0.8214578271525861,0.689254509972085,0.45720170480720035,0.5353502704174119,0.7510802258733699
m. simon,nantes,ligue 1,attacker,0,Off-Ball Disruptor,0.4870384917517675,0.39146706174431534,0.21016994123638116,0.22199598334835802,0.4226922168865067,0.6274599236774752,0.7029267746163929,0.5667780664111497,0.5260135514517823
d. ndoye,bologna,serie a,attacker,0,Off-Ball Disruptor,0.4799685781618225,0.38529744479325895,0.17426996941991238,0.5754062331552957,0.868402321099999,0.3768219202704487,0.6440134309505249,0.5557026393970189,0.43584213500937596
j. zirkzee,bologna,serie a,attacker,0,Off-Ball Disruptor,0.8711704634721131,0.4194407948240201,0.402652676031268,0.7152465321125989,0.6603219973669368,0.5336449767909084,0.5889737955342441,0.6081786595891323,0.535704775491697
f. thauvin,udinese,serie a,attacker,0,Off-Ball Disruptor,0.45600942655145327,0.3951678795262633,0.30419635052677774,0.6102031305871587,0.41879171361775214,0.6121403127104963,0.46726590595054907,0.5696227246658733,0.268297507790738
g. lapadula,cagliari,serie a,attacker,0,Off-Ball Disruptor,0.25569520816967795,0.2609442478788383,0.36167655355114814,0.36585839532469777,0.6411425903980509,0.7926970616463224,0.41621367331111053,0.3564558327617312,0.17044666694204463
g. isaksen,lazio,serie a,attacker,0,Off-Ball Disruptor,0.20267085624509032,0.30247726652514506,0.30889250593783113,0.5638343904828255,0.46548429424495336,0.46767202019459514,0.4208930081425686,0.6215758454850022,0.4355430311458457
mousa tamari,montpellier,ligue 1,attacker,0,Off-Ball Disruptor,0.5455616653574235,0.3277934486406001,0.3027321848926129,0.47315782198472095,0.7518207484682218,0.3813318112025059,0.727589655095028,0.6373914060973999,0.4585592000130243
jaime mata,getafe,la liga,attacker,0,Off-Ball Disruptor,0.48586017282011007,0.24553075072250247,0.24508641835554576,0.43599804686941257,0.6261954529720806,0.6532519901353822,0.4322067749635825,0.7755524661798358,0.8171013390870012
carlos vicente,alaves,la liga,attacker,0,Off-Ball Disruptor,0.22191673212882954,0.4750072338312178,0.1599300670561948,0.3104729845230838,0.0,0.442403575496561,0.5967635925845262,0.6461544681857104,0.04637061979672902
josé arnáiz,osasuna,la liga,attacker,0,Off-Ball Disruptor,0.14414768263943442,0.35379485043599046,0.3415419167429243,0.6279678790260534,0.6308225099651461,0.41396931987985175,0.5518775975276604,0.4549391680613676,0.482627745958771
e. nuamah,lyon,ligue 1,attacker,0,Off-Ball Disruptor,0.5074626865671642,0.3978322808078679,0.22510421242836223,0.7331683531696159,0.6885880376885285,0.5694037833695262,0.5419304467914471,0.576105379668406,0.5657994033186985
ivan cavaleiro,lille,ligue 1,attacker,0,Off-Ball Disruptor,0.08601728201099765,0.4150571217801779,0.1031265385942674,0.5922549797957863,0.6658474241376124,0.7034806820805544,0.52104751975793,0.7557835583162846,0.683802353643173
