name,team_clean,league,position,minutes,goals_p90,shots_total_p90,assists_p90,passes_key_p90,passes_total_p90,passes_accuracy_perc,dribbles_success_perc,duels_win_perc
F. Caputo,empoli,Serie A,Attacker,1274.0,-0.5671746077860312,-0.9404135427827269,-1.3478302657969994,-1.0414774971564824,-1.365213221275779,0.5941143196248917,0.9512428234205516,-0.3691243113188627
I. Success,udinese,Serie A,Attacker,870.0,-1.1250737476651655,-0.29075647006111077,-0.36869957200942666,-0.2898114193052325,-0.5541595278145044,-1.2896627913808603,1.2733043637012937,0.5905988981101788
S. Azmoun,roma,Serie A,Attacker,568.0,0.7875346740328397,-0.1420799414076001,-1.3478302657969994,-0.06391752779558313,-0.06720976670600765,-0.4404190118290871,-0.9811264182639086,0.2821164379365581
Dany Mota,monza,Serie A,Attacker,2057.0,-0.7570386220661586,-0.9450667161089567,-0.10547192316911157,0.3955377137885563,1.0747762501310576,0.4242655637145357,-0.9811264182639086,-0.30057265350250173
A. Petagna,cagliari,Serie A,Attacker,999.0,-1.1937715562840963,-1.1104791095434516,-0.4951338658018162,0.5527803418283919,-0.5007949589274647,-0.14704388798393037,2.732645718098411,0.5734609836560887
G. Oristanio,cagliari,Serie A,Attacker,1101.0,-0.8163058072601137,-0.6020178521058757,-0.574130262531615,-0.13611947579058523,-1.0891745805873232,-0.6565901557149939,1.212917824898654,-0.31771056795659197
A. Pinamonti,sassuolo,Serie A,Attacker,3100.0,-0.014720291944445477,-0.4388320040465271,-1.0730419743146806,-1.4123296657664322,-1.0221710545770912,-1.058050851503104,-0.5483562235116601,-0.7975721726711116
L. Tchaouna,salernitana,Serie A,Attacker,2097.0,-0.7742068383090132,-0.5499278690262914,-0.1291697456322091,-0.6272815191752771,0.6302999383021597,-0.9499652795601506,-1.2226725734744657,-0.8147100871252018
K. Kvaratskhelia,napoli,Serie A,Attacker,2752.0,0.19296212055387307,1.2262340675345784,0.199850881723329,1.0321466973967097,1.2516364168326493,1.2889501392581608,0.5687947443371686,1.447494620814679
O. Giroud,milan,Serie A,Attacker,2374.0,1.267396315652842,1.2720562005680713,1.522746662914673,-0.1587928339330762,-0.8991780066726407,-0.5176229917883393,-1.2931235354108779,0.5905988981101788
A. Belotti,fiorentina,Serie A,Attacker,952.0,-0.19852933912910453,-0.21198834089477145,-1.3478302657969994,-1.4486667052953113,-0.860337373817027,-0.9036428915845998,-2.128470655514056,0.5734609836560887
A. Cerri,empoli,Serie A,Attacker,554.0,-0.8216175724761459,-1.443180521452005,-1.3478302657969994,-1.1401045053564625,-0.41641755426556154,-3.4050518422643687,-2.9638177756172337,0.4877714113856386
P. Pellegri,torino,Serie A,Attacker,745.0,-1.0358105579113657,-1.0480134915491093,-0.20441589855513592,-1.430319202899651,-1.2553403514858366,-1.5058339352667671,-0.44771199217392793,-0.45481388358931274
A. Sanabria,torino,Serie A,Attacker,2134.0,-0.5726224440912444,0.12024193842277435,-1.3478302657969994,-1.170075167722289,0.1778878609793461,1.1036605873559553,-0.09545718249186433,0.693426384834718
P. Almqvist,lecce,Serie A,Attacker,2114.0,-1.219194476373212,-1.3635279800440676,-0.9448767636233063,-0.2696936488177622,-0.760919484205915,0.2080944198286311,0.005187048845867917,0.2821164379365581
Zito Luvumbo,cagliari,Serie A,Attacker,1944.0,-0.7047212649529496,-0.5849259410263893,0.8431257619684032,-0.1752350544411698,-1.5875079118281177,-1.3359851793564124,-0.32693891456864893,-0.26629682459432247
Pedro,lazio,Serie A,Attacker,795.0,-1.0748842560677458,-1.3684255946877963,-0.27632875184078726,1.0804455062333727,3.0624054819496243,1.6595292430625697,0.38763512792925015,0.3678060102070081
T. Noslin,verona,Serie A,Attacker,1347.0,0.06098553862343248,0.30080049241518253,1.1817724174849265,0.870500035992738,-0.4523371142583831,-0.3940966238535363,-1.2931235354108779,-0.7804342582170213
M. Retegui,genoa,Serie A,Attacker,2226.0,-0.2015871022726445,0.39825284318618853,-0.5824720415425627,-1.497347299095724,-1.2862572298966093,-1.1970180154297587,-0.2464235294984627,-0.3348484824106822
A. Lookman,atalanta,Serie A,Attacker,1900.0,1.0225610133103136,0.8370032165578308,1.790541273764222,1.8537092094137726,1.5187593755479891,0.5786735236330399,0.5889235906047147,0.1964268656661081
G. Scamacca,atalanta,Serie A,Attacker,1457.0,2.1549765968838916,2.3460799025490946,2.1601053701474977,1.2788718690215506,0.19901119611200233,-0.7029125436905447,1.162595709229788,-0.8661238304874725
S. Chukwueze,milan,Serie A,Attacker,1015.0,-1.201074977798401,-0.39087297068374716,1.1699343753710465,0.8171774262468706,1.4296005107879555,0.9801342194211523,-0.79996680185599,-0.07777976559933218
Rafael Leão,milan,Serie A,Attacker,2521.0,-0.004711305998593978,-0.25225470593828403,1.6932618930116865,1.3971050715971292,1.0107941202128208,0.2389760118123302,0.9713716696880976,1.7388391665342082
A. Saelemaekers,bologna,Serie A,Attacker,1891.0,-0.6780289656598893,-1.2400631408248288,-0.44688504782218375,1.2929840027112245,2.5569987084448846,0.9183710354537497,-0.5382918003778868,1.8416666532587485
N. Okafor,milan,Serie A,Attacker,870.0,1.534969306998074,0.5852629103869624,0.6104311217781471,-0.8304338787609115,-1.065222839546999,-1.5212747312586168,-0.09545718249186433,-1.071778803936552
A. Guðmundsson,genoa,Serie A,Attacker,3024.0,0.48573010210312917,-0.9769716514121012,-0.2210528800890781,2.0310750782654075,0.7790088028364303,0.4242655637145357,0.38763512792925015,-0.489089712497492
