name,team_clean,league,position,Cluster,Role_Label,minutes,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8
A. Pinamonti,sassuolo,Serie A,Attacker,3,Disruptive Presser,1.0,0.1029497345528929,0.3619026269509819,0.4695779548626839,0.6174831503303875,0.5369683380439221,0.5940930723606757,0.6983389048111849,0.6600275948180101
S. Azmoun,roma,Serie A,Attacker,3,Disruptive Presser,0.0054988216810683,0.2765089765134131,0.4260893383699444,0.5434984938710343,0.6541685650728969,0.337992136404853,0.4495987942834102,0.865003117699132,0.3074003771034448
L. Tchaouna,salernitana,Serie A,Attacker,3,Disruptive Presser,0.6060487038491752,0.2629441154795018,0.2769357084065371,0.6402192616882945,0.4671176486834277,0.3932144274947282,0.6182548612650242,0.6026075163727117,0.9504256612033092
M. Retegui,genoa,Serie A,Attacker,3,Disruptive Presser,0.6567164179104478,0.1395762208747022,0.4120190656586143,0.3425269650618113,0.6240618191708001,0.5149607696098688,0.6601598754218903,0.5118465013308038,0.6933056778382484
Zito Luvumbo,cagliari,Serie A,Attacker,3,Disruptive Presser,0.5459544383346426,0.2497681647577188,0.2828165962703612,0.3354275523209206,0.3707739863741328,0.5842855922696415,0.8252218066467887,0.4937401068054464,0.3472793746291713
P. Pellegri,torino,Serie A,Attacker,3,Disruptive Presser,0.0750196386488609,0.1189817448226771,0.2203524525812814,0.3763446147026285,0.5173740991083967,0.5373863717103906,0.7754883063425544,0.5956213316608215,0.7122941472973401
A. Belotti,fiorentina,Serie A,Attacker,3,Disruptive Presser,0.1563236449332286,0.0956679425803483,0.3659805757100751,0.5027307369071968,0.6588192593060849,0.1764512980395312,0.7334092107716853,0.6981364732336287,0.4229424271492145
A. Adams,montpellier,Ligue 1,Attacker,3,Disruptive Presser,0.6716417910447762,0.095161058036156,0.4708129043808206,0.4761805870217038,0.5503166932344914,0.4410988328253106,0.5672760358933238,0.4568286052021867,0.4819760300796266
Mostafa Mohamed,nantes,Ligue 1,Attacker,3,Disruptive Presser,0.5738413197172035,0.2423298489065812,0.4405237671532211,0.2758343427210502,0.5985758531426776,0.4631787933956873,0.5736610276166085,0.5602987274609825,0.3710828048447454
E. Guessand,nice,Ligue 1,Attacker,3,Disruptive Presser,0.3880597014925373,0.2113005782357168,0.4605270780825201,0.4958460272312332,0.8090019856627637,0.4412440239628153,0.5827756352243632,0.5191273346364549,0.1868528756524543
F. Magri,toulouse,Ligue 1,Attacker,3,Disruptive Presser,0.3452474469756481,0.2322454014096788,0.4064481504226669,0.5288812676443145,0.5694756987987715,0.5295849303793706,0.6957237238154733,0.5432816788680681,0.5504749425360707
M. Bayo,le havre,Ligue 1,Attacker,3,Disruptive Presser,0.3299293008641005,0.2198557479962359,0.4312435203663514,0.3696427353153596,0.6163628636011345,0.473633363848391,0.509056138808882,0.5420621475076499,0.6462541544415736
