name,position,minutes,duels_total_api,duels_won_api,goals_total_api,shots_total_api,shots_on_target_api,assists_total_api,dribbles_attempts_api,dribbles_success_api,touches_total_api,passes_key_api,passes_total_api,passes_accuracy_perc,shots_on_target_perc,dribbles_success_perc,name_clean,team_clean,duels_total_p90,duels_won_p90,goals_p90,shots_total_p90,shots_on_target_p90,assists_p90,dribbles_attempts_p90,dribbles_success_p90,touches_total_p90,passes_key_p90,passes_total_p90,team_Almeria,team_Athletic Club,team_Atletico Madrid,team_Barcelona,team_Cadiz,team_Celta Vigo,team_Getafe,team_Girona,team_Las Palmas,team_Mallorca,team_Osasuna,team_Rayo Vallecano,team_Real Madrid,team_Real Sociedad,team_Valencia,team_Villarreal,league
Hugo Duro,Attacker,2997.0,425.0,183.0,13.0,56.0,0,2.0,36.0,13.0,0,14.0,556.0,71.2,0.0,36.11111111111111,hugo duro,valencia,12.762762762762762,5.495495495495495,0.3903903903903904,1.6816816816816815,0.0,0.06006006006006,1.0810810810810811,0.3903903903903904,0.0,0.4204204204204204,16.696696696696698,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,La Liga
Diego López,Attacker,2671.0,329.0,137.0,3.0,28.0,0,6.0,69.0,28.0,0,39.0,706.0,64.7,0.0,40.57971014492754,diego lopez,valencia,11.08573567952078,4.616248596031449,0.1010857356795207,0.943466866342194,0.0,0.2021714713590415,2.324971920628978,0.943466866342194,0.0,1.31411456383377,23.78884312991389,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,La Liga
Mikel Oyarzabal,Attacker,2156.0,204.0,78.0,9.0,27.0,0,3.0,25.0,9.0,0,21.0,493.0,73.6,0.0,36.0,mikel oyarzabal,real sociedad,8.515769944341372,3.256029684601113,0.37569573283859,1.12708719851577,0.0,0.1252319109461966,1.043599257884972,0.37569573283859,0.0,0.8766233766233766,20.57977736549165,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,La Liga
Abdón Prats,Attacker,1255.0,171.0,72.0,6.0,25.0,0,1.0,18.0,8.0,0,14.0,233.0,55.0,0.0,44.44444444444444,abdon prats,mallorca,12.262948207171316,5.163346613545817,0.4302788844621513,1.792828685258964,0.0,0.0717131474103585,1.290836653386454,0.5737051792828686,0.0,1.00398406374502,16.709163346613547,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,La Liga
Raúl de Tomás,Attacker,1277.0,188.0,78.0,1.0,27.0,0,2.0,39.0,20.0,0,8.0,258.0,76.1,0.0,51.28205128205128,raul de tomas,rayo vallecano,13.249804228660922,5.497259201252937,0.0704776820673453,1.9028974158183245,0.0,0.1409553641346906,2.7486296006264683,1.409553641346907,0.0,0.5638214565387627,18.183241973375097,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,La Liga
Jorge de Frutos,Attacker,1540.0,161.0,73.0,2.0,23.0,0,0.0,40.0,15.0,0,17.0,419.0,71.2,0.0,37.5,jorge de frutos,rayo vallecano,9.409090909090908,4.266233766233767,0.1168831168831168,1.344155844155844,0.0,0.0,2.337662337662338,0.8766233766233766,0.0,0.9935064935064936,24.48701298701299,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,La Liga
Iago Aspas,Attacker,2715.0,215.0,105.0,9.0,61.0,0,10.0,40.0,28.0,0,91.0,1144.0,72.7,0.0,70.0,iago aspas,celta vigo,7.12707182320442,3.480662983425414,0.2983425414364641,2.022099447513812,0.0,0.3314917127071823,1.3259668508287292,0.9281767955801103,0.0,3.016574585635359,37.92265193370166,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,La Liga
Gerard Moreno,Attacker,2231.0,278.0,133.0,10.0,44.0,0,6.0,77.0,43.0,0,55.0,959.0,77.8,0.0,55.84415584415584,gerard moreno,villarreal,11.214701927386823,5.365307037203048,0.4034065441506051,1.7749887942626623,0.0,0.242043926490363,3.10623038995966,1.734648139847602,0.0,2.218735992828328,38.68668758404303,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,La Liga
Gorka Guruzeta,Attacker,2240.0,341.0,146.0,14.0,46.0,0,5.0,32.0,19.0,0,27.0,601.0,68.3,0.0,59.375,gorka guruzeta,athletic club,13.700892857142856,5.866071428571429,0.5625,1.8482142857142856,0.0,0.2008928571428571,1.2857142857142856,0.7633928571428571,0.0,1.0848214285714286,24.147321428571427,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,La Liga
Nico Williams,Attacker,2283.0,352.0,160.0,5.0,38.0,0,11.0,176.0,84.0,0,47.0,661.0,69.9,0.0,47.72727272727273,nico williams,athletic club,13.876478318002627,6.307490144546649,0.1971090670170827,1.4980289093298291,0.0,0.4336399474375821,6.938239159001314,3.3114323258869907,0.0,1.8528252299605783,26.057818659658345,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,La Liga
