name,team_clean,league,position,minutes,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,Cluster
Vítinha,marseille,Ligue 1,Attacker,921.0,0.4743731075256703,0.7171784058840328,-0.5406727566498063,-0.2624147304255277,0.3973119294351557,-0.1172624817070701,-1.198303654677302,-0.7418479269908749,1
Kylian Mbappé,paris sg,Ligue 1,Attacker,2159.0,3.2915033638479083,5.038107189824635,0.6339428183700935,0.5365080569176145,-0.1445788254951535,0.0682243803284519,0.6980020195176827,0.5294106144129593,1
M. Terrier,rennes,Ligue 1,Attacker,1533.0,0.802962212962695,-0.0470046927018674,0.2085541502287073,1.147472905055307,-0.2785052814310641,1.0371287891014012,0.7621664546340935,0.0956140446161039,0
A. Adams,montpellier,Ligue 1,Attacker,2264.0,-2.543456271759717,0.7951301550106049,-0.170957231829346,-0.4382494012705887,-0.445118814301975,-0.1869894401323842,-0.5545441564790288,-0.0402312700604344,3
E. Wahi,lens,Ligue 1,Attacker,1700.0,-1.356606933006607,1.8883991983159647,0.129773567350666,-0.2464579812135085,1.2580096543958894,0.184846606598831,-0.8953613977031805,0.0605661611697117,1
I. Sarr,marseille,Ligue 1,Attacker,1448.0,0.5110193482347832,-1.0509606150021666,0.6120196833572569,-0.2117465264124607,-0.7994179588473274,1.458587431145335,0.094903263946727,-0.1324479494994418,0
I. Ndiaye,marseille,Ligue 1,Attacker,1624.0,1.2540503993273373,-1.235706496390122,0.4560514931723404,1.4550770381275142,0.9546310326581832,0.3731249997415642,-0.0660506306744159,0.2642140063868611,0
Ivan Cavaleiro,lille,Ligue 1,Attacker,773.0,0.2283633219984971,-2.152947791261284,0.5165870482501227,0.2019605544848443,0.995859312075519,-0.3627887562228128,0.5380046361335938,0.4195528173967728,0
Ângelo,strasbourg,Ligue 1,Attacker,1089.0,1.89184209987024,-2.979807589161996,-0.3641260871817565,-0.7781031199110653,0.3007046651431866,-0.0622000397653064,0.3175472536959871,-0.186418640938998,2
S. Nicholson,clermont foot,Ligue 1,Attacker,1487.0,-0.745984189657335,-0.068256314350441,0.4925783099675171,-0.6628606825249325,-0.7975418977761031,0.7710891951803994,-0.3725563398910747,-0.0014877178791622,3
M. Daramy,reims,Ligue 1,Attacker,1656.0,1.6505568267051132,-1.203530026870158,-1.0415108254557677,0.7393024790530907,0.1871194542678579,1.2100896893237272,0.29020586818061,0.0640013251086736,2
E. Sabbi,le havre,Ligue 1,Attacker,1588.0,-1.921088345474812,-0.4373853334065284,0.1949224574835039,0.2845564687586562,-0.5764492544613401,0.5996629459838567,0.443438917980833,-0.0580715712250954,3
E. Nuamah,lyon,Ligue 1,Attacker,1846.0,0.0791143717375069,-1.1749411975204844,1.3512602395925606,0.3279769579255159,0.2595207320879352,-0.2833744769561708,-0.1186400359005003,0.1507282266584202,0
Joselu,real madrid,La Liga,Attacker,1674.0,-0.5310694138068486,1.66316190977496,-1.2462482886362332,1.091445575083918,-0.658404107198561,0.5713310504547218,0.1202224375731105,-0.1887875952038143,1
José Arnáiz,osasuna,La Liga,Attacker,921.0,-0.3024589772275105,-0.241353607265482,0.7281255194322621,0.00787108082354,-0.594111722327605,-0.2455471261635749,-0.5614492177446687,-0.0387465846859847,0
Adri Embarba,almeria,La Liga,Attacker,2485.0,-0.0708505287868222,-1.2063179894730116,-0.1628692387677383,-0.7332949748827562,-0.9472478028599433,-1.0667735735384771,-0.2617266904056226,-0.3379747898573792,0
Carles Pérez,celta vigo,La Liga,Attacker,771.0,-0.2955153588924805,-0.789250829539622,1.3464845852852576,0.3436055542146041,0.4178188701698055,-0.0348503429939488,-0.7004728798379746,0.3594672389005597,0
Álvaro Morata,atletico madrid,La Liga,Attacker,1909.0,-0.2937077513033895,2.5048344241475387,-1.8341445919985817,0.7695999786535074,-0.2083492521399957,0.4178351525503206,0.4180906842975845,-0.0832419589604014,1
André Silva,real sociedad,La Liga,Attacker,728.0,-2.6037635681711038,0.9051922487371556,2.9317860397962625,0.4340729106078863,0.2306153661511073,0.2631508905686002,-0.3760731781724618,-0.296083575823857,3
Jaime Mata,getafe,La Liga,Attacker,1791.0,-1.2405403945923936,-1.0147255733001654,-0.4089707590208504,-0.0177696117406954,0.7200077369189719,-0.7006352518807802,0.6102512946773305,0.7232235740112584,0
Sandro Ramírez,las palmas,La Liga,Attacker,1818.0,0.8625267756588497,-1.127050122308891,0.1239898907844604,0.3670929035514218,-0.627045657611029,-0.1090075115871212,-0.8226298554595924,0.0094005773440011,0
Marc Cardona,las palmas,La Liga,Attacker,724.0,-0.0294045282084685,1.487094608671807,0.4820720563747454,0.4571723727602635,-0.2890917260493906,-0.0014787762896261,-0.0550426458092223,0.4292406518833366,1
Carlos Vicente,alaves,La Liga,Attacker,1119.0,0.7478160882696112,-1.6975019409078087,-1.1524942577033896,-3.487812258468889,-0.4379532818721986,-0.0748531932256355,0.1373585561482045,-1.0325915951261762,0
Juanmi,cadiz,La Liga,Attacker,872.0,-1.0687341359153988,-0.3068401482416532,2.1891810658173,0.041526504259313,1.4294374364288644,0.1408721503722784,0.0330921817486171,-0.1394467398435263,0
Borja Mayoral,getafe,La Liga,Attacker,2164.0,-1.099186688633242,0.7960675006471957,0.734748304277172,0.6940271717164742,0.7388817051316043,0.0057744711373212,1.430508258228998,-0.1770990841745441,1
Luis Rioja,alaves,La Liga,Attacker,2515.0,0.2391138008914589,-1.5376842397235502,-1.5447929644883835,-0.2716127088380643,0.8356639557464343,-0.6429157806008442,0.3511787466912572,0.2541802358753242,0
Hugo Duro,valencia,La Liga,Attacker,2997.0,-2.0552673129792423,0.377999405159298,0.0100221845822825,0.5038032876328958,-0.3783591981107301,0.7418359133717025,0.3840651505162065,-0.1544239530786586,3
Diego López,valencia,La Liga,Attacker,2671.0,-0.6425023634333795,-1.7492920033968895,-0.0446995414030078,-1.3346979780188268,-0.1131510640392706,0.4463940318915463,0.1510857056368958,0.2628137706932387,0
Mikel Oyarzabal,real sociedad,La Liga,Attacker,2156.0,-1.379010680094929,-0.2754524677975,1.0209407601095206,-0.2373040313084645,0.323205510755041,0.7676669830173197,0.6885979092642651,-0.198476117300298,3
Abdón Prats,mallorca,La Liga,Attacker,1255.0,-1.9914795322272796,0.323379237297777,-1.6066058470746156,-1.2698079771397686,-0.2332290300393344,-0.6946547581287179,0.672220402956275,0.2620936243833807,3
Raúl de Tomás,rayo vallecano,La Liga,Attacker,1277.0,-0.93537964467926,-0.6078437949788229,-0.2343897618727769,1.0106487681459115,0.7342091850129238,0.7439181971489294,-1.2131669419342206,0.2884090012591225,0
Jorge de Frutos,rayo vallecano,La Liga,Attacker,1540.0,-1.2362623397409571,-1.272748374350268,0.3820936218833409,0.6046157664173943,-1.020318922260028,-0.2372097904017024,0.1020277053525351,-0.113656500092096,3
Iago Aspas,celta vigo,La Liga,Attacker,2715.0,4.3295235779167305,-0.5476994211790693,-0.9014325466709084,-0.836718667439943,0.73918121001455,-1.0940323337515432,-0.2020040391671673,-0.0069781718458255,2
Gerard Moreno,villarreal,La Liga,Attacker,2231.0,3.033451296472923,-0.1557644625828015,0.38205169241073,0.0524911693521839,0.02660637585086,-0.3834659950747923,0.5119265005859656,0.1520735852462802,2
Gorka Guruzeta,athletic club,La Liga,Attacker,2240.0,0.3213402916798379,0.7906529534483664,-1.0585749284792916,-0.1252820331169943,1.0909229509858878,0.0324619254025419,0.8353378861404477,0.5977240200698596,1
Nico Williams,athletic club,La Liga,Attacker,2283.0,1.7525640796987916,-0.8471971975308307,-0.4759324057266278,-1.7690751890025302,0.332139408511076,1.444209570716313,-0.4427527031715222,0.0635758289743094,2
Ilias Akhomach,villarreal,La Liga,Attacker,1512.0,0.2959264659760359,-1.739000735701071,0.2760842243976423,0.8711860584533756,0.086753228893742,0.3764600939615348,0.2340605265012343,-0.211132095682948,0
Álex Berenguer,athletic club,La Liga,Attacker,1579.0,-0.5417042759300718,-0.3871252301455392,0.6022183281951864,-2.251913184257865,0.2406959460049339,-0.5943401291899199,0.8244820165513123,-0.0405403429279738,0
Rodrygo,real madrid,La Liga,Attacker,2390.0,2.4592666651106527,0.894700276023149,1.3555025080279817,1.3597051304076229,-0.4475847986010385,0.1582435839908652,-0.5795756993225647,-0.1235706436059894,2
Vinícius Júnior,real madrid,La Liga,Attacker,1875.0,1.192475425465797,2.755636205189072,0.1230399699396866,-0.5987619101076405,-0.6208162028348759,0.0976299972686041,0.1585330605840048,0.2465261808366536,1
Ferran Torres,barcelona,La Liga,Attacker,1202.0,1.2749800491096297,0.7073888296467604,1.1251347533096347,-0.0663297786083446,0.1866265718031126,-0.4869866672029298,0.5820984639713228,-0.380995603213132,1
Raphinha,barcelona,La Liga,Attacker,1370.0,5.296747446838568,1.3113419154726058,-0.9160938505939304,-1.6076966847106138,-0.3997970580694341,1.146517470153924,-1.3047090212456731,0.3770142349236615,2
Lamine Yamal,barcelona,La Liga,Attacker,2196.0,3.003452213619996,-0.9221450170958272,-0.0686949601007168,1.4058695190144368,-1.2346264476987645,0.2405962958403905,0.2164724230601389,0.7179877297344787,2
Gonçalo Guedes,villarreal,La Liga,Attacker,948.0,1.87123893806272,-0.7115355911112249,-0.6350364589209115,0.6768116691176349,0.654827195130962,-0.1856400462541624,0.1624300156975338,-0.2427520000607963,2
Sávio,girona,La Liga,Attacker,2992.0,1.9757622254408664,-1.3297463937879146,-0.6236851181931341,0.1453942075189492,-0.0019604425951431,1.319568155524086,0.7098804590555582,-0.3940626153251814,2
Rubén Sobrino,cadiz,La Liga,Attacker,1648.0,-0.5865839633785616,-2.5298867125072246,0.7231372582231874,0.472146159425841,-0.5513697427026623,0.0913745634765282,0.3457837876448159,-0.122864363607248,0
Chris Ramos,cadiz,La Liga,Attacker,2626.0,-2.9818888187445105,0.0644243408744051,-1.0943489511527196,-0.8447797100515649,-1.7571435631671863,-0.0825350131292915,-0.5746036437755169,0.4558517358825152,3
Léo Baptistão,almeria,La Liga,Attacker,1932.0,-1.1862978081458393,-0.3025262957600452,-0.7763507423123627,0.3777067995887334,-0.7592260731676415,-0.8468753234114723,0.3657700448078342,0.5208287637955107,3
José Luis Morales,villarreal,La Liga,Attacker,1037.0,-3.368003101565181,1.507831264518266,2.186189958138628,-0.4722853686244148,1.0334679508389322,-0.1457133719551218,0.7240093277688625,0.230363594347033,3
